Date,CreativeID,Time Zone,MarketCode,MarketName,Network,Station,Program Aired,Air Type,CreativeID,CreativeName,CreativeLength,Spend
11/28/2019,12:21 AM,Local,2270,Davenport-Rock Island-Moline-Q,BBGRS,K G C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,2780,Fresno-Visalia                ,BBGRS,K A I L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,2950,Green Bay-Appleton            ,BBGRS,W A C Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,3620,Little Rock                   ,BBGRS,K A R Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,5230,San Francisco-Oakland-San Jose,BBGRS,K B C W - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,5810,Tulsa                         ,BBGRS,K M Y T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:21 AM,Local,6070,Wilkes Barre-Scranton         ,BBGRS,W S W B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:23 AM,Local,1900,Charlotte                     ,BBGRS,W A X N - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,1200,Austin                        ,BBGRS,K N V A - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2280,Dayton                        ,BBGRS,W B D T - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2780,Fresno-Visalia                ,BBGRS,K A I L - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,2950,Green Bay-Appleton            ,BBGRS,W A C Y - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,3620,Little Rock                   ,BBGRS,K A R Z - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,4240,Nashville                     ,BBGRS,W N A B - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,4630,Philadelphia                  ,BBGRS,W P S G - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,5140,San Antonio                   ,BBGRS,K M Y S - T V                 ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
11/28/2019,12:51 AM,Local,5650,Tampa-St. Petersburg          ,BBGRS,W M O R -T V                  ,BOB'S BURGERS                 ,Syndication                   ,RRFALL30BBH  ,TRR_30_TVC_FALL_HERO                                        ,30,0
