Date,Time,Time Zone,Network,Local,Cover %,Program Aired,CreativeID,CreativeName,CreativeLength,Air Type,Spend
11/25/2019,12:59 AM,Eastern ,ADSL ,LOCAL,20,JOE PERA TALKS WITH YOU       ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/25/2019, 3:59 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/26/2019,12:29 AM,Eastern ,ADSL ,LOCAL,20,RICK & MORTY                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 1:29 AM,Eastern ,ADSL ,LOCAL,20,YOUR PRETTY FACE/HELL         ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 2:28 AM,Eastern ,ADSL ,LOCAL,20,FAMILY GUY                    ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,42.5
11/26/2019, 3:29 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/26/2019, 3:30 AM,Eastern ,ADSL ,LOCAL,20,AMERICAN DAD                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/26/2019, 4:29 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/26/2019, 4:58 AM,Eastern ,ADSL ,LOCAL,20,YOUR PRETTY FACE/HELL         ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/26/2019, 5:28 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/26/2019, 5:29 AM,Eastern ,ADSL ,LOCAL,20,BOBS BURGERS                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/27/2019, 5:57 AM,Eastern ,ADSL ,LOCAL,20,BOBS BURGERS                  ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,21.25
11/27/2019, 6:30 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/27/2019, 7:58 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
11/27/2019, 8:29 AM,Eastern ,ADSL ,LOCAL,20,Dual Feed                     ,RRFALL15LH   ,TRR_15_TVC_FALL_HERO                                        ,15,Cable                         ,0
