Date,Time,TimeZone,MarketCode,MarketName,Network,Station,ProgramAired,RealRealAdType,CreativeID,CreativeName,CreativeLength,Spend
11/28/2020,12:07 AM,Local,532,Albany-Schenectady-Troy,WOFWD,WTEN,JEOPARDY!                     ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,12:32 AM,Local,518,Greensboro-Winston-Salem-High,WOFWD,WFMY,TO BE ANNOUNCED               ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,12:57 AM,Local,658,Green Bay-Appleton,WOFWD,WLUK,WHEEL OF FORTUNE              ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,1:05 AM,Local,693,Little Rock,WOFWD,KATV,JEOPARDY!                     ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,1:28 AM,Local,600,Corpus Christi,WOFWD,KIII,WHEEL OF FORTUNE              ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,1:28 AM,Local,633,Odessa-Midland,WOFWD,KMID,WHEEL OF FORTUNE              ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,1:29 AM,Local,637,Cedar Rapids-Waterloo-Dubuque,WOFWD,KWWL,THE WORLD'S FUNNIEST WEATHER  ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,1:36 AM,Local,575,Chattanooga,WOFWD,WTVC,JEOPARDY!                     ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,2:03 AM,Local,567,Greenville-Spartanburg-Ashevil,WOFWD,WLOS,WHEEL OF FORTUNE              ,Syndication,RRFWV115WFH,TRR_F/W_2020_15_V1_20%_OFF,15,0
11/28/2020,6:05 AM,Local,505,Detroit,EXP1 ,WJBK,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,565,Elmira,EXP1 ,WYDC,XPLORATION DIY SCI            ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,722,Lincoln-Hastings-Kearney,EXP1 ,KHGI,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,803,Los Angeles,EXP1 ,KTTV,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,617,Milwaukee,EXP1 ,WITI,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,613,Minneapolis-St. Paul,EXP1 ,KMSP,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,740,North Platte,EXP1 ,KWNB,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,770,Salt Lake City,EXP1 ,KSTU,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,641,San Antonio,EXP1 ,KABB,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,807,San Francisco-Oakland-San Jose,EXP1 ,KTVU,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,709,Tyler-Longview-Jacksonville,EXP1 ,KLTV,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:05 AM,Local,709,Tyler-Longview-Jacksonville,EXP1 ,KTRE,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,512,Baltimore,EXP1 ,WBFF,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,716,Baton Rouge,EXP1 ,WBTR,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,602,Chicago,EXP1 ,WFLD,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,546,"Columbia, SC",EXP1 ,WACH,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,623,Dallas-Ft. Worth,EXP1 ,KDFW,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,773,Grand Junction-Durango,EXP1 ,KFQX,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,566,Harrisburg-York-Lancaster-Leba,EXP1 ,WPMT,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,718,"Jackson, MS",EXP1 ,WDBD,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,693,Little Rock,EXP1 ,KLRT,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,613,Minneapolis-St. Paul,EXP1 ,KFTC,XPLORATION OUTER SPACE        ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,613,Minneapolis-St. Paul,EXP1 ,WFTC,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,628,Monroe-El Dorado,EXP1 ,KARD,PAID PROGRAMMING              ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,652,Omaha,EXP1 ,KPTM,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,504,Philadelphia,EXP1 ,WTXF,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,753,Phoenix,EXP1 ,KSAZ,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,556,Richmond,EXP1 ,WRLH,LIFE 2.0                      ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,862,Sacramento-Stockton,EXP1 ,KTXL,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,825,San Diego,EXP1 ,KSWB,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,819,Seattle-Tacoma,EXP1 ,KCPQ,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:06 AM,Local,547,Toledo,EXP1 ,WUPW,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:07 AM,Local,640,Memphis,EXP1 ,WHBQ,XPLORATION AWESOME PLANET     ,Syndication,RRFWV330E1H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,520,Augusta,EXP2 ,WFXG,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,598,Clarksburg-Weston,EXP2 ,WVFX,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,659,Nashville,EXP2 ,WZTV,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,534,Orlando-Daytona Beach-Melbourn,EXP2 ,WOFL,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,632,Paducah-Cape Girardeau-Harrisb,EXP2 ,KBSI,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,811,Reno,EXP2 ,KRXI,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,573,Roanoke-Lynchburg,EXP2 ,WFXR,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
11/28/2020,6:11 AM,Local,807,San Francisco-Oakland-San Jose,EXP2 ,KICU,XPLORATION DIY SCI            ,Syndication,RRFWV330E2H,TRR_F/W_2020_30_V3_SELL,30,0
