Date,Time,TimeZone,MarketCode,MarketName,Network,Station,ProgramAired,RealRealAdType,CreativeID,CreativeName,CreativeLength,Spend
3/14/2020,12:40 AM,Eastern ,790,Albuquerque,WOFWD,KBIM,PAID PROGRAM                  ,Syndication,RRFALL15WFH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,12:40 AM,Eastern ,790,Albuquerque,WOFWD,KREZ,PAID PROGRAM                  ,Syndication,RRFALL15WFH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,12:40 AM,Eastern ,790,Albuquerque,WOFWD,KRQE,PAID PROGRAM                  ,Syndication,RRFALL15WFH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,12:41 AM,Eastern ,673,"Columbus-Tupelo, MS",EXP2 ,WLOV,PAWN STARS                    ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,1:37 AM,Eastern ,649,Evansville,J!WKD,WFIE,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,1:37 AM,Eastern ,710,Hattiesburg-Laurel,J!WKD,WDAM,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,1:40 AM,Eastern ,640,Memphis,J!WKD,WREG,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,1:42 AM,Eastern ,538,"Rochester, NY",J!WKD,WROC,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,2:07 AM,Eastern ,718,"Jackson, MS",J!WKD,WLBT,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,2:07 AM,Eastern ,698,Montgomery-Selma,J!WKD,WAKA,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,2:07 AM,Eastern ,641,San Antonio,J!WKD,KENS,NCIS: NEW ORLEANS             ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,2:10 AM,Eastern ,651,Lubbock,J!WKD,KCBD,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
3/14/2020,6:12 AM,Eastern ,651,Lubbock,EXP2 ,KJTV,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:12 AM,Eastern ,648,Champaign & Springfield-Decatu,EXP2 ,WCCU,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,1360
3/14/2020,6:12 AM,Eastern ,648,Champaign & Springfield-Decatu,EXP2 ,WRSP,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:16 AM,Eastern ,534,Orlando-Daytona Beach-Melbourn,EXP2 ,WOFL,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:16 AM,Eastern ,811,Reno,EXP2 ,KRXI,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:16 AM,Eastern ,573,Roanoke-Lynchburg,EXP2 ,WFXR,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:16 AM,Eastern ,511,"Washington, DC",EXP2 ,WTTG,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:16 AM,Eastern ,692,"Beaumont-Port Arthur, TX",EXP2 ,KBTV,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:41 AM,Eastern ,510,Cleveland,EXP2 ,WJW,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,512,Baltimore,EXP2 ,WBFF,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,546,"Columbia, SC",EXP2 ,WACH,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,765,El Paso,EXP2 ,KFOX,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,722,Lincoln-Hastings-Kearney,EXP2 ,KHGI,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,740,North Platte,EXP2 ,KWNB,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,652,Omaha,EXP2 ,KPTM,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,534,Orlando-Daytona Beach-Melbourn,EXP2 ,WOFL,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,573,Roanoke-Lynchburg,EXP2 ,WFXR,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,641,San Antonio,EXP2 ,KABB,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,511,"Washington, DC",EXP2 ,WTTG,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:42 AM,Eastern ,692,"Beaumont-Port Arthur, TX",EXP2 ,KBTV,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:43 AM,Eastern ,661,San Angelo,EXP2 ,KIDY,XPLORATION NATURE KNOWS BEST  ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:46 AM,Eastern ,648,Champaign & Springfield-Decatu,EXP2 ,WCCU,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,6:46 AM,Eastern ,648,Champaign & Springfield-Decatu,EXP2 ,WRSP,XPLORATION DIY SCI            ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,7:12 AM,Eastern ,637,Cedar Rapids-Waterloo-Dubuque,EXP2 ,KFXA,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,7:12 AM,Eastern ,570,"Florence-Myrtle Beach, SC",EXP2 ,WFXB,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,7:12 AM,Eastern ,670,Ft. Smith,EXP2 ,KFTA,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
3/14/2020,7:12 AM,Eastern ,803,Los Angeles,EXP2 ,KTTV,XPLORATION WEIRD BUT TRUE     ,Syndication,RRFALL30E2H,TRR_30_TVC_FALL_HERO,30,0
