Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
2/15/2021,12:22 AM,Eastern,CI,National,TBD,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,0.0,0
2/15/2021,1:09 AM,Eastern,CI,National,TBD,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,0.0,0
2/15/2021,1:32 AM,Eastern,MSN,national_local,LAST WORD W/ L. ODONNELL,RRFWV115LH,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,110.5,25
2/15/2021,2:59 AM,Eastern,SUND,National,SUND MOVIE,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,51.0,0
2/15/2021,3:18 AM,Eastern,BET,National,CLEVELAND SHOW  THE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,59.5,0
2/15/2021,3:37 AM,Eastern,ENT,National,SEX AND THE CITY,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,170.0,0
2/15/2021,3:57 AM,Eastern,NGC,National,REAGAN: ASSASSINATION ATT,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,63.75,0
2/15/2021,4:15 AM,Eastern,WE,National,GROWING UP HIP HOP,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,0
2/15/2021,4:22 AM,Eastern,IFC,National,COMMUNITY,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,28.05,0
2/15/2021,5:51 AM,Eastern,USA,National,DATELINE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,127.5,0
2/15/2021,8:12 AM,Eastern,BRV,national_local,BELOW DECK,RFWV1REV30LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,30
2/15/2021,9:27 AM,Eastern,CNBCW,National,MARKETING MEDIA MONEY,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,25.5,0
