Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
3/15/2021,1:32 AM,Eastern,MSN,national_local,LAST WORD W/ L. ODONNELL,RRFWV115LH,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,110.5,25
3/15/2021,2:26 AM,Eastern,SUND,National,SUND MOVIE,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,51.0,0
3/15/2021,4:11 AM,Eastern,AMC,National,WALKING DEAD,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,63.75,0
3/15/2021,4:37 AM,Eastern,TBSC,National,IMPRACTICAL JOKERS,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.5,0
3/15/2021,4:58 AM,Eastern,IFC,National,COMMUNITY,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,28.05,0
3/15/2021,5:13 AM,Eastern,AMC,National,THREE STOOGES  THE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,63.75,0
3/15/2021,5:33 AM,Eastern,TNT,National,ARROW,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,340.0,0
3/15/2021,5:38 AM,Eastern,IFC,National,COMMUNITY,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,28.05,0
3/15/2021,8:33 AM,Eastern,BRV,national_local,BELOW DECK MEDITERRANEAN,RFWV1REV30LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,30
3/15/2021,9:10 AM,Eastern,BRV,national_local,BELOW DECK MEDITERRANEAN,RFWV1REV30LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,30
3/15/2021,9:33 AM,Eastern,BRV,national_local,BELOW DECK MEDITERRANEAN,RFWV1REV30LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,30
3/15/2021,11:16 AM,Eastern,TRU,National,INSIDE CARBONARO,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,212.5,0
3/15/2021,11:17 AM,Eastern,MTV,national_local,OFFICE  THE,RRFWV115LH,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,63.75,20
3/15/2021,11:35 AM,Eastern,OXYG,National,NCIS,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,361.25,0
3/15/2021,11:52 AM,Eastern,TRU,National,INSIDE CARBONARO,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,212.5,0
3/15/2021,11:58 AM,Eastern,MSN,national_local,MSNBC LIVE W/ C.MELVIN,RRFWV115LH,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,170.0,25
3/15/2021,12:05 PM,Eastern,OXYG,National,NCIS,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,361.25,0
3/15/2021,12:10 PM,Eastern,TRU,National,WORLDS DUMBEST,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,212.5,0
3/15/2021,12:21 PM,Eastern,ENT,national_local,KEEPING UP KARDASHIANS,RFWV1REV30LH,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,110.5,30
3/15/2021,12:37 PM,Eastern,OXYG,National,NCIS,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,361.25,0
3/15/2021,12:59 PM,Eastern,MSN,national_local,ANDREA MITCHELL REPORTS,RRFWV115LH,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,170.0,25
3/15/2021,1:03 PM,Eastern,OXYG,National,NCIS,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,361.25,0
