Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
10/12/2020,2:22 AM,Eastern,ENT,National,PARKS AND RECREATION,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,170.00,0
10/12/2020,2:59 AM,Eastern,AMC,National,AMC FEARFEST,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,55.25,0
10/12/2020,3:19 AM,Eastern,ENT,National,PARKS AND RECREATION,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,170.00,0
10/12/2020,3:23 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,68.00,0
10/12/2020,3:36 AM,Eastern,AMC,National,AMC FEARFEST,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,55.25,0
10/12/2020,3:39 AM,Eastern,IFC,National,PARKS AND RECREATION,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,21.25,0
10/12/2020,3:46 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
10/12/2020,3:54 AM,Eastern,TBSC,National,2 BROKE GIRLS,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,212.50,0
10/12/2020,3:58 AM,Eastern,ENT,National,PARKS AND RECREATION,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,170.00,0
10/12/2020,4:17 AM,Eastern,USA,National,DATELINE,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,85.00,0
10/12/2020,4:31 AM,Eastern,TBSC,National,2 BROKE GIRLS,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,212.50,0
10/12/2020,4:51 AM,Eastern,USA,National,DATELINE,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,85.00,0
10/12/2020,5:15 AM,Eastern,TNT,National,BONES,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,212.50,0
10/12/2020,5:16 AM,Eastern,IFC,National,PARKS AND RECREATION,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,21.25,0
10/12/2020,5:21 AM,Eastern,TBSC,National,FAMILY MATTERS,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,212.50,0
10/12/2020,9:14 AM,Eastern,IFC,National,MST3K,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,93.50,0
