Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
11/23/2020,2:15 AM,Eastern,RLZC,National,REAL STORY OF...,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,21.25,0
11/23/2020,2:31 AM,Eastern,AMC,National,AMC MOVIE,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,55.25,0
11/23/2020,2:42 AM,Eastern,AMC,National,AMC MOVIE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,55.25,0
11/23/2020,3:21 AM,Eastern,NGC,National,PORT PROTECTION ALASKA,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,63.75,0
11/23/2020,3:25 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,68,0
11/23/2020,3:26 AM,Eastern,AMC,National,AMC MOVIE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,55.25,0
11/23/2020,3:37 AM,Eastern,TNT,National,BONES,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.5,0
11/23/2020,3:39 AM,Eastern,IFC,National,PARKS AND RECREATION,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,21.25,0
11/23/2020,3:41 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,68,0
11/23/2020,3:49 AM,Eastern,TBSC,National,2 BROKE GIRLS,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.5,0
11/23/2020,4:08 AM,Eastern,USA,National,DATELINE,RRFWV115H,TRR_F/W_2020_15_V1_20%_OFF,15,Cable,85,0
11/23/2020,4:12 AM,Eastern,TBSC,National,2 BROKE GIRLS,RRFWV130H,TRR_F/W_2020_30_V1_20%_OFF,30,Cable,212.5,0
11/23/2020,4:13 AM,Eastern,HLN,National,FORENSIC FILES,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,68,0
11/23/2020,4:17 AM,Eastern,USA,National,DATELINE,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,85,0
11/23/2020,4:36 AM,Eastern,HLN,National,FORENSIC FILES,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,68,0
11/23/2020,4:36 AM,Eastern,USA,National,DATELINE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,85,0
11/23/2020,4:44 AM,Eastern,SUND,National,SUND MOVIE,RRV388830H,TRR_F/W_2020_30_REV_V3_888_SELL,30,Cable,42.5,0
11/23/2020,4:48 AM,Eastern,USA,National,DATELINE,RRFWV1MN15H,TRR_F/W_2020_MENS_15_V1_20%_OFF,15,Cable,85,0
11/23/2020,4:52 AM,Eastern,TNT,National,BONES,RRV388830H,TRR_F/W_2020_30_REV_V3_888_SELL,30,Cable,212.5,0
11/23/2020,4:56 AM,Eastern,IFC,National,PARKS AND RECREATION,RRV388815H,TRR_F/W_2020_15_REV_V3_888_SELL,15,Cable,21.25,0
