Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
11/4/2019,12:28 AM,Eastern,ADS,NatLoc,RICK & MORTY,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/4/2019,1:29 AM,Eastern,ADS,NatLoc,METALOCALYPSE,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/4/2019,2:28 AM,Eastern,ADS,NatLoc,FAMILY GUY,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/4/2019,3:29 AM,Eastern,ADS,NatLoc,AMERICAN DAD,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/4/2019,3:58 AM,Eastern,ADS,NatLoc,RICK & MORTY,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/4/2019,4:28 AM,Eastern,ADS,NatLoc,XAVIER:RENEGADE ANGEL,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/4/2019,5:29 AM,Eastern,ADS,NatLoc,BOBS BURGERS,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/5/2019,12:59 AM,Eastern,ADS,NatLoc,MR. PICKLES,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/5/2019,3:29 AM,Eastern,ADS,NatLoc,AMERICAN DAD,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/6/2019,12:59 AM,Eastern,ADS,NatLoc,MR. PICKLES,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/6/2019,4:59 AM,Eastern,ADS,NatLoc,METALOCALYPSE,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/7/2019,12:59 AM,Eastern,ADS,NatLoc,MR. PICKLES,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/7/2019,1:29 AM,Eastern,ADS,NatLoc,METALOCALYPSE,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,42.5,20
11/7/2019,4:58 AM,Eastern,ADS,NatLoc,METALOCALYPSE,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
11/8/2019,4:58 AM,Eastern,ADS,NatLoc,ERIC ANDRE SHOW,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,21.25,20
