Date,Time,TimeZone,MarketCode,MarketName,Network,Station,ProgramAired,RealRealAdType,CreativeID,CreativeName,CreativeLength,Spend
1/16/20,12:49 AM,Local,718,"Jackson, MS",TMRON,WAPT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,12:52 AM,Local,618,Houston,TMRON,KTRK,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 AM,Local,756,Billings-Hardin,TMRON,KSVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:48 AM,Local,588,South Bend-Elkhart,TMRON,WBND,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:49 AM,Local,506,Boston,TMRON,WCVB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:49 AM,Local,510,Cleveland,TMRON,WEWS,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:51 AM,Local,504,Philadelphia,TMRON,WPVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:52 AM,Local,803,Los Angeles,TMRON,KABC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:54 AM,Local,752,Colorado Springs-Pueblo,TMRON,KRDO,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:19 AM,Local,506,Boston,TMRON,WMUR,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:21 AM,Local,501,New York,TMRON,WABC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:21 AM,Local,560,Raleigh-Durham,TMRON,WTVD,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:23 AM,Local,753,Phoenix,TMRON,KNXV,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 AM,Local,611,Rochester-Mason City-Austin,TMRON,KXLT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 AM,Local,661,San Antonio,TMRON,KABB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,8:38 AM,Local,612,Shreveport-Texarkana,TMRON,KPXJ,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,3825
1/16/20,9:38 AM,Local,527,Indianapolis,TMRON,WTTV,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:38 AM,Local,557,Knoxville,TMRON,WVLT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:38 AM,Local,582,"Lafayette, IN",TMRON,WTTK,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:43 AM,Local,757,Boise,TMRON,KIVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:43 AM,Local,682,Davenport-Rock Island-Moline-Q,TMRON,KLJB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:43 AM,Local,751,Denver,TMRON,KMGH,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:43 AM,Local,633,Odessa-Midland,TMRON,KPEJ,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,9:44 AM,Local,756,Billings-Hardin,TMRON,KSVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:38 AM,Local,539,Tampa-St. Petersburg,TMRON,WMOR,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,506,Boston,TMRON,WCVB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,575,Chattanooga,TMRON,WTVC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,565,Elmira,TMRON,WENY,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,516,Erie,TMRON,WJET,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,801,Eugene,TMRON,KLSR,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,649,Evansville,TMRON,WTVW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,616,Kansas City,TMRON,KMBC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,541,Lexington,TMRON,WDKY,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,501,New York,TMRON,WABC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,504,Philadelphia,TMRON,WPVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,500,"Portland-Auburn, ME",TMRON,WMTW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,560,Raleigh-Durham,TMRON,WTVD,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,828,Monterey-Salinas,TMRON,KSBW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,881,Spokane,TMRON,KAYU,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,548,West Palm Beach-Ft. Pierce-Ver,TMRON,WPBF,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,810,Yakima-Pasco-Richland-Kennewic,TMRON,KCYU,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,10:43 AM,Local,810,Yakima-Pasco-Richland-Kennewic,TMRON,KFFX,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:42 AM,Local,693,Little Rock,TMRON,KLRT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:42 AM,Local,862,Sacramento-Stockton,TMRON,KCRA,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,532,Albany-Schenectady-Troy,TMRON,WNYT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,520,Augusta,TMRON,WAGT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,754,Butte-Bozeman,TMRON,KWYB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,505,Detroit,TMRON,WMYD,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,755,Great Falls,TMRON,KFBB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,647,Greenwood-Greenville,TMRON,WABG,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,744,Honolulu,TMRON,KHNL,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,691,Huntsville-Decatur-Florence,TMRON,WAFF,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,762,Missoula,TMRON,KTMF,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,686,Mobile-Pensacola,TMRON,WPMI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,628,Monroe-El Dorado,TMRON,KTVE,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,573,Roanoke-Lynchburg,TMRON,WSLS,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,661,San Antonio,TMRON,KMOL,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,11:43 AM,Local,819,Seattle-Tacoma,TMRON,KCPQ,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,12:42 PM,Local,676,Duluth-Superior,TMRON,KDLH,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,12:43 PM,Local,514,Buffalo,TMRON,WNLO,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,12:43 PM,Local,507,Savannah,TMRON,WJCL,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,12:43 PM,Local,692,"Beaumont-Port Arthur, TX",TMRON,KBTV,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:38 PM,Local,518,Greensboro-Winston-Salem-High,TMRON,WCWG,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:42 PM,Local,803,Los Angeles,TMRON,KABC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 PM,Local,658,Green Bay-Appleton,TMRON,WGBA,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 PM,Local,567,Greenville-Spartanburg-Ashevil,TMRON,WHNS,DIVORCE COURT                 ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 PM,Local,618,Houston,TMRON,KTRK,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 PM,Local,640,Memphis,TMRON,WHBQ,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:43 PM,Local,807,San Francisco-Oakland-San Jose,TMRON,KGO,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,1:44 PM,Local,511,"Washington, DC",TMRON,WTTG,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:13 PM,Local,610,Rockford,TMRON,WREX,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:37 PM,Local,725,Sioux Falls-Mitchell,TMRON,KTTM,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:37 PM,Local,725,Sioux Falls-Mitchell,TMRON,KTTW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:42 PM,Local,570,"Florence-Myrtle Beach, SC",TMRON,WWMB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 PM,Local,790,Albuquerque,TMRON,KOAT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 PM,Local,743,Anchorage,TMRON,KTUU,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 PM,Local,800,Bakersfield,TMRON,KBAK,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 PM,Local,821,Bend,TMRON,KTVZ,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/16/20,2:43 PM,Local,746,Biloxi-Gulfport-Pascagoula,TMRON,WLOX,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
