Date,Time,TimeZone,MarketCode,MarketName,Network,Station,ProgramAired,RealRealAdType,CreativeID,CreativeName,CreativeLength,Spend
1/5/20,12:02 AM,Local,510,Cleveland,J!WKD,WOIO,WHEEL OF FORTUNE              ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/5/20,12:02 AM,Local,518,Greensboro-Winston-Salem-High,J!WKD,WFMY,THE OUTDOORSMAN WITH BUCK MCNE,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/5/20,12:08 AM,Local,609,St. Louis,J!WKD,KSDK,PAID PROGRAM                  ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/5/20,12:27 AM,Local,670,Ft. Smith,J!WKD,KFSM,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/4/20,12:31 AM,Local,671,Tulsa,J!WKD,KTUL,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/4/20,12:32 AM,Local,532,Albany-Schenectady-Troy,J!WKD,WTEN,JUDGE JUDY                    ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/4/20,12:36 AM,Local,673,"Columbus, GA",J!WKD,WRBL,MADAM SECRETARY               ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/5/20,12:40 AM,Local,625,Waco-Temple-Bryan,J!WKD,KCEN,ACCESS HOLLYWOOD              ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/3/20,12:55 AM,Local,718,"Jackson, MS",TMRON,WAPT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/5/20,10:27 AM,Local,605,Topeka,J!WKD,KTKA,JEOPARDY!                     ,Syndication,RRFALL15JPH,TRR_15_TVC_FALL_HERO,15,0
1/3/20,10:48 AM,Local,616,Kansas City,TMRON,KMBC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:48 AM,Local,881,Spokane,TMRON,KAYU,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:48 AM,Local,810,Yakima-Pasco-Richland-Kennewic,TMRON,KCYU,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,506,Boston,TMRON,WCVB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,575,Chattanooga,TMRON,WTVC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,565,Elmira,TMRON,WENY,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,516,Erie,TMRON,WJET,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,801,Eugene,TMRON,KLSR,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,649,Evansville,TMRON,WTVW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,541,Lexington,TMRON,WDKY,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,828,Monterey-Salinas,TMRON,KSBW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,501,New York,TMRON,WABC,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,504,Philadelphia,TMRON,WPVI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,500,"Portland-Auburn, ME",TMRON,WMTW,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,560,Raleigh-Durham,TMRON,WTVD,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,548,West Palm Beach-Ft. Pierce-Ver,TMRON,WPBF,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:49 AM,Local,810,Yakima-Pasco-Richland-Kennewic,TMRON,KFFX,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,10:50 AM,Local,539,Tampa-St. Petersburg,TMRON,WMOR,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:48 AM,Local,754,Butte-Bozeman,TMRON,KWYB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:48 AM,Local,755,Great Falls,TMRON,KFBB,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:48 AM,Local,762,Missoula,TMRON,KTMF,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:48 AM,Local,686,Mobile-Pensacola,TMRON,WPMI,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:48 AM,Local,862,Sacramento-Stockton,TMRON,KCRA,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
1/3/20,11:49 AM,Local,532,Albany-Schenectady-Troy,TMRON,WNYT,TAMRON HALL                   ,Syndication,RRFALL30TMH,TRR_30_TVC_FALL_HERO,30,0
