Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
1/13/20,12:06 AM,Eastern,BETJ,National,MUSIC PLAYLIST,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,4.25,0
1/13/20,12:24 AM,Eastern,MSN,national_local,RACHEL MADDOW SHOW,RRFL15PRLH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,34,25
1/13/20,12:39 AM,Eastern,BETJ,National,MUSIC PLAYLIST,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,4.25,0
1/13/20,1:23 AM,Eastern,BETJ,National,MUSIC PLAYLIST,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,4.25,0
1/13/20,2:03 AM,Eastern,USA,National,NCIS: LOS ANGELES,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,255,0
1/13/20,2:12 AM,Eastern,OXY,national_local,NCIS,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,6.8,20
1/13/20,2:13 AM,Eastern,OXY,national_local,NCIS,RRFL15INLH,TRR_15_TVC_FALL_INNOVATOR,15,Cable,6.8,20
1/13/20,2:17 AM,Eastern,USA,National,NCIS: LOS ANGELES,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,255,0
1/13/20,2:30 AM,Eastern,HLN,National,VENGEANCE: KILLER CWRKRS,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,276.25,0
1/13/20,2:49 AM,Eastern,OXY,national_local,NCIS,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,6.8,20
1/13/20,2:49 AM,Eastern,USA,National,NCIS: LOS ANGELES,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,255,0
1/13/20,2:50 AM,Eastern,OXY,national_local,NCIS,RRFL15INLH,TRR_15_TVC_FALL_INNOVATOR,15,Cable,6.8,20
1/13/20,2:56 AM,Eastern,RLZC,National,CELEBRITY PAGE,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,25.5,0
1/13/20,3:18 AM,Eastern,VH1,National,LOVE AND HIP HOP 10,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,255,0
1/13/20,3:26 AM,Eastern,HLN,National,FORENSIC FILES,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,85,0
1/13/20,3:44 AM,Eastern,BRV,national_local,WATCH WHAT HAPPENS LIVE,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,6.8,30
1/13/20,3:45 AM,Eastern,HLN,National,FORENSIC FILES,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,85,0
1/13/20,5:14 AM,Eastern,VH1,National,MARTIN,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,59.5,0
1/13/20,5:53 AM,Eastern,IFC,National,THREE STOOGES,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,25.5,0
1/13/20,8:49 AM,Eastern,OXY,national_local,NCIS: LOS ANGELES,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,34,20
1/13/20,8:50 AM,Eastern,OXY,national_local,NCIS: LOS ANGELES,RRFL15INLH,TRR_15_TVC_FALL_INNOVATOR,15,Cable,34,20
1/13/20,9:08 AM,Eastern,BRV,national_local,BELOW DECK,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,51,30
1/13/20,9:37 AM,Eastern,IFC,National,IFC MOVIE,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,85,0
1/13/20,11:12 AM,Eastern,RLZC,National,US WEEKLYS FAMOUS FEUDS,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,59.5,0
1/13/20,11:48 AM,Eastern,RLZC,National,US WEEKLYS FAMOUS FEUDS,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,59.5,0
1/13/20,11:49 AM,Eastern,HLN,National,ON THE STORY,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,233.75,0
1/13/20,11:51 AM,Eastern,OXY,national_local,NCIS,RRFALL15LH,TRR_15_TVC_FALL_HERO,15,Cable,34,20
