Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
12/30/19,12:44 AM,Eastern,WGNA,National,Married,RRFALL30ITNH,TRR_30_TVC_REVISED_Hero,30,Cable,356.55,0
1/1/20,11:18 PM,Eastern,WGNA,National,Cops,RRFALL30ITNH,TRR_30_TVC_REVISED_Hero,30,Cable,617.36,0
1/1/20,12:19 AM,Eastern,WGNA,National,Married,RRFALL30ITNH,TRR_30_TVC_REVISED_Hero,30,Cable,491.91,0
12/30/19,9:14 AM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/30/19,10:14 AM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/30/19,7:14 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/30/19,10:58 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/31/19,9:43 AM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/31/19,12:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/31/19,1:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/1/20,10:29 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/1/20,11:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/2/20,11:14 AM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/2/20,4:14 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/2/20,5:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/2/20,11:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/3/20,11:14 AM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/3/20,2:43 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/3/20,6:14 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/3/20,6:44 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/4/20,11:29 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/5/20,8:14 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
1/5/20,11:13 PM,Eastern,ACCUW,National,N/A,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,21.25,0
12/30/19,3:27 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
12/30/19,3:58 AM,Eastern,ADS,national_local,RICK & MORTY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/1/20,1:28 AM,Eastern,ADS,national_local,AMERICAN DAD,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/1/20,1:58 AM,Eastern,ADS,national_local,AMERICAN DAD,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/1/20,2:57 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/1/20,3:28 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/1/20,4:29 AM,Eastern,ADS,national_local,OFF THE AIR,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/1/20,4:59 AM,Eastern,ADS,national_local,MIKE TYSON MYSTERIES,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/1/20,5:28 AM,Eastern,ADS,national_local,ROBOT CHICKEN,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/1/20,10:29 PM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
1/1/20,11:58 PM,Eastern,ADS,national_local,ROBOT CHICKEN,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
1/2/20,2:28 AM,Eastern,ADS,national_local,BOBS BURGERS,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/2/20,2:58 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/2/20,9:28 PM,Eastern,ADS,national_local,BOBS BURGERS,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
1/3/20,1:59 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/3/20,2:28 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/3/20,3:28 AM,Eastern,ADS,national_local,MIKE TYSON MYSTERIES,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/3/20,10:28 PM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
1/4/20,2:28 AM,Eastern,ADS,national_local,BLACK CLOVER,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/4/20,3:58 AM,Eastern,ADS,national_local,PROMISED NEVERLAND  THE,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/4/20,5:58 AM,Eastern,ADS,national_local,BOBS BURGERS,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/4/20,8:58 PM,Eastern,ADS,national_local,DRAGON BALL SUPER,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
1/5/20,1:29 AM,Eastern,ADS,national_local,METALOCALYPSE,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/5/20,2:27 AM,Eastern,ADS,national_local,FAMILY GUY,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,85.0,20
1/5/20,5:57 AM,Eastern,ADS,national_local,HOME MOVIES,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,42.5,20
1/5/20,8:58 PM,Eastern,ADS,national_local,BOBS BURGERS,RRFALL30LH,TRR_30_TVC_FALL_HERO,30,Cable,382.5,20
12/30/19,3:55 AM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
12/30/19,4:47 AM,Eastern,AMC,National,THREE STOOGES  THE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
12/31/19,4:51 AM,Eastern,AMC,National,HUNGER GAMES NYE EVENT,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/1/20,1:36 AM,Eastern,AMC,National,HOME ALONE MARATHON,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/1/20,2:33 AM,Eastern,AMC,National,HOME ALONE MARATHON,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/2/20,8:37 PM,Eastern,AMC,National,BLOCKBUSTER MONTH,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,2210.0,0
1/3/20,1:52 AM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/3/20,2:23 AM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/3/20,9:51 PM,Eastern,AMC,National,BLOCKBUSTER MONTH,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,2210.0,0
1/4/20,3:33 AM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/4/20,7:16 PM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,2210.0,0
1/5/20,3:03 AM,Eastern,AMC,National,X-MEN MARATHON,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/5/20,4:23 AM,Eastern,AMC,National,AMC MOVIE,RRFALL30H,TRR_30_TVC_FALL_HERO,30,Cable,170.0,0
1/3/20,12:16 AM,Eastern,BETJ,National,MUSIC PLAYLIST,RRFL15PRH,TRR_15_TVC_FALL_PRAGMATIST,15,Cable,4.25,0
1/3/20,12:44 AM,Eastern,BETJ,National,MUSIC PLAYLIST,RRFALL15H,TRR_15_TVC_FALL_HERO,15,Cable,4.25,0
