Date,Time,TimeZone,Network,RealRealAdType,ProgramAired,CreativeID,CreativeName,CreativeLength,AirType,Spend,CoverPct
5/18/2020,12:39 AM,Eastern,MSN,national_local,RACHEL MADDOW SHOW,RR20SPMN15LH,TRR_15_TVC_2020_SPRING_MENS,15,Cable,46.75,25
5/18/2020,4:23 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,68.00,0
5/18/2020,4:46 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
5/18/2020,12:43 PM,Eastern,HLN,National,FORENSIC FILES II,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,191.25,0
5/18/2020,12:53 PM,Eastern,HLN,National,FORENSIC FILES II,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,191.25,0
5/18/2020,1:21 PM,Eastern,HLN,National,FORENSIC FILES II,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,191.25,0
5/18/2020,1:52 PM,Eastern,HLN,National,FORENSIC FILES II,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,191.25,0
5/18/2020,2:34 PM,Eastern,MSN,national_local,MSNBC LIVE W/K.TUR,RR20SPR15LH,TRR_15_TVC_2020_SPRING,15,Cable,93.50,25
5/18/2020,3:22 PM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,191.25,0
5/18/2020,3:29 PM,Eastern,MSN,national_local,DEADLINE: WH SPECIAL,RR20SPMN15LH,TRR_15_TVC_2020_SPRING_MENS,15,Cable,93.50,25
5/18/2020,3:43 PM,Eastern,FBN,National,CLAMAN COUNTDOWN  THE,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,467.50,0
5/18/2020,4:34 PM,Eastern,MSN,national_local,DEADLINE:WHITE HOUSE,RR20SPR15LH,TRR_15_TVC_2020_SPRING,15,Cable,93.50,25
5/18/2020,7:56 PM,Eastern,FBN,National,LOU DOBBS TONIGHT,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,297.50,0
5/18/2020,11:12 PM,Eastern,FBN,National,EVENING EDIT  THE,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,68.00,0
5/18/2020,11:51 PM,Eastern,BRVO,National,BELOW DECK SAILING YACHT,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,"1,020.00",0
5/19/2020,1:22 AM,Eastern,MSN,national_local,LAST WORD W/ L. ODONNELL,RR20SPMN15LH,TRR_15_TVC_2020_SPRING_MENS,15,Cable,46.75,25
5/19/2020,1:34 AM,Eastern,MSN,national_local,LAST WORD W/ L. ODONNELL,RR20SPR15LH,TRR_15_TVC_2020_SPRING,15,Cable,46.75,25
5/19/2020,3:22 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
5/19/2020,3:45 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,68.00,0
5/19/2020,4:24 AM,Eastern,HLN,National,FORENSIC FILES,RR20SPR15H,TRR_15_TVC_2020_SPRING,15,Cable,68.00,0
5/19/2020,2:15 PM,Eastern,HLN,National,FORENSIC FILES,RR20SPMN15H,TRR_15_TVC_2020_SPRING_MENS,15,Cable,191.25,0
5/19/2020,2:23 PM,Eastern,MSN,national_local,MSNBC LIVE W/K.TUR,RR20SPMN15LH,TRR_15_TVC_2020_SPRING_MENS,15,Cable,93.50,25
5/19/2020,3:18 PM,Eastern,MSN,national_local,DEADLINE: WH SPECIAL,RR20SPR15LH,TRR_15_TVC_2020_SPRING,15,Cable,93.50,25
5/19/2020,4:37 PM,Eastern,MSN,national_local,DEADLINE:WHITE HOUSE,RR20SPMN15LH,TRR_15_TVC_2020_SPRING_MENS,15,Cable,93.50,25
5/19/2020,8:41 PM,Eastern,BRVO,National,VANDERPUMP RULES,RR20SPR30H,TRR_30_TVC_2020_SPRING,30,Cable,"1,020.00",0
