TRR_Market_Code,TRR_Market_Name,Alphonso_DMA_Code,Alphonso_Market_Name
4720,"Portland-Auburn, ME",500,Portland-Auburn
4370,New York,501,New York
1580,Binghamton,502,Binghamton
3790,Macon,503,Macon
4630,Philadelphia,504,Philadelphia
2350,Detroit,505,Detroit
1700,Boston,506,Boston (Manchester)
5390,Savannah,507,Savannah
4690,Pittsburgh,508,Pittsburgh
2870,Ft. Wayne,509,Ft. Wayne
2040,Cleveland,510,Cleveland-Akron (Canton)
5910,"Washington, DC",511,"Washington, DC (Hagrstwn)"
1440,Baltimore,512,Baltimore
2720,Flint-Saginaw-Bay City,513,Flint-Saginaw-Bay City
1770,Buffalo,514,Buffalo
2010,Cincinnati,515,Cincinnati
2520,Erie,516,Erie
1900,Charlotte,517,Charlotte
2960,Greensboro-Winston-Salem-High,518,Greensboro-H.Point-W.Salem
1860,"Charleston, SC",519,"Charleston, SC"
1190,Augusta,520,Augusta-Aiken
4780,Providence-New Bedford,521,Providence-New Bedford
1780,Burlington-Plattsburgh,523,Burlington-Plattsburgh
1180,Atlanta,524,Atlanta
1030,"Albany, GA",525,"Albany, GA"
3240,Indianapolis,527,Indianapolis
3960,Miami-Ft. Lauderdale,528,Miami-Ft. Lauderdale
3730,Louisville,529,Louisville
5640,Tallahassee-Thomasville,530,Tallahassee-Thomasville
6200,"Tri-Cities, TN-VA",531,"Tri-Cities, TN-VA"
1020,Albany-Schenectady-Troy,532,Albany-Schenectady-Troy
3070,Hartford-New Haven,533,Hartford & New Haven
4520,Orlando-Daytona Beach-Melbourn,534,Orlando-Daytona Bch-Melbrn
2160,"Columbus, OH",535,"Columbus, OH"
6150,Youngstown,536,Youngstown
5650,Tampa-St. Petersburg,539,Tampa-St. Pete (Sarasota)
5750,Traverse City-Cadillac,540,Traverse City-Cadillac
3580,Lexington,541,Lexington
2280,Dayton,542,Dayton
4420,Norfolk-Portsmouth-Newport New,544,Norfolk-Portsmth-Newpt Nws
2990,Greenville-New Bern-Washington,545,Greenville-N.Bern-Washngtn
2110,"Columbia, SC",546,"Columbia, SC"
5710,Toledo,547,Toledo
6010,West Palm Beach-Ft. Pierce-Ver,548,West Palm Beach-Ft. Pierce
6100,Wilmington,550,Wilmington
3840,Marquette,553,Marquette
5630,Syracuse,555,Syracuse
4900,Richmond,556,Richmond-Petersburg
3410,Knoxville,557,Knoxville
3590,Lima,558,Lima
4830,Raleigh-Durham,560,Raleigh-Durham (Fayetvlle)
1880,Charleston-Huntington,564,Charleston-Huntington
2500,Elmira,565,Elmira (Corning)
3050,Harrisburg-York-Lancaster-Leba,566,Harrisburg-Lncstr-Leb-York
2980,Greenville-Spartanburg-Ashevil,567,Greenvll-Spart-Ashevll-And
2740,"Florence-Myrtle Beach, SC",570,Myrtle Beach-Florence
2830,Ft. Myers-Naples,571,Ft. Myers-Naples
4950,Roanoke-Lynchburg,573,Roanoke-Lynchburg
3330,Johnstown-Altoona,574,Johnstown-Altoona-St Colge
1920,Chattanooga,575,Chattanooga
6070,Wilkes Barre-Scranton,577,Wilkes Barre-Scranton-Hztn
5680,Terre Haute,581,Terre Haute
3430,"Lafayette, IN",582,"Lafayette, IN"
1080,Alpena,583,Alpena
5460,South Bend-Elkhart,588,South Bend-Elkhart
2880,Gainesville,592,Gainesville
2030,Clarksburg-Weston,598,Clarksburg-Weston
1950,Chicago,602,Chicago
2380,"Dothan, AL",606,Dothan
5550,St. Louis,609,St. Louis
4990,Rockford,610,Rockford
4970,Rochester-Mason City-Austin,611,Rochestr-Mason City-Austin
5420,Shreveport-Texarkana,612,Shreveport
4040,Minneapolis-St. Paul,613,Minneapolis-St. Paul
3370,Kansas City,616,Kansas City
4030,Milwaukee,617,Milwaukee
3140,Houston,618,Houston
4350,New Orleans,622,New Orleans
2220,Dallas-Ft. Worth,623,Dallas-Ft. Worth
5440,Sioux City,624,Sioux City
5890,Waco-Temple-Bryan,625,Waco-Temple-Bryan
6060,Wichita Falls-Lawton,627,Wichita Falls & Lawton
1600,Birmingham,630,Birmingham (Ann and Tusc)
4560,Paducah-Cape Girardeau-Harrisb,632,Paducah-Cape Girard-Harsbg
4480,Odessa-Midland,633,Odessa-Midland
1090,Amarillo,634,Amarillo
1200,Austin,635,Austin
