network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
CBS,0,0,263675,1.057827021,0
Oxygen,3606,4.593396515,2167090,8.694060338,1.892730207
National Geographic,595,0.7579231632,357727,1.435150419,1.893530227
TV One,476,0.6063385305,37319,0.1497185801,0.2469224246
HLN,4539,5.781870987,1875379,7.523756827,1.301266812
Univision,5100,6.496484256,143737,0.5766526313,0.08876380033
MTV Classic,381,0.4853255885,120454,0.4832445094,0.9957119939
NBC,0,0,339554,1.362242899,0
MSNBC,4173,5.315652706,8289589,33.25666536,6.256365343
Cartoon Network,762,0.970651177,384,0.001540554001,0.001587134531
Laff TV,930,1.184653011,105986,0.425200928,0.3589244478
REELZChannel,815,1.03816366,118674,0.4761033997,0.4586014883
AMC,6460,8.228880057,741443,2.974565052,0.3614787227
IFC,1050,1.337511464,298914,1.199200934,0.8965911439
USA Network,1615,2.057220014,772759,3.100200441,1.506985358
TNT,1275,1.624121064,377595,1.514858042,0.932724829
TBS,1275,1.624121064,219066,0.8788619863,0.5411308343
ABC,0,0,407952,1.636646057,0
MyNetworkTV,0,0,6815,0.02734082166,0
BET Jams,142,0.1808825028,58749,0.2356927266,1.30301562
History Channel En Español,653,0.8318047488,45303,0.1817492654,0.2184999131
BETSOUL,208,0.264954652,26706,0.1071407165,0.404373789
FOX Business,914,1.164271884,304181,1.220331397,1.048149847
FOX,7310,9.311627433,141902,0.5692908694,0.06113763394
VH1,2649,3.374350352,590653,2.369616777,0.7022438484
Independent TV,0,0,11368,0.0456068174,0
E!,9528,12.13696117,1514663,6.07661496,0.500670215
CW,0,0,4944,0.01983463276,0
truTV,2286,2.911953531,271317,1.088485651,0.3737991143
WE tv,1016,1.294201569,493305,1.97907029,1.529182422
Investigation Discovery,1991,2.536176501,812128,3.258143332,1.284667424
BET Her,54,0.06878630388,19914,0.07989216764,1.161454579
Crime + Investigation,1452,1.849587282,72699,0.2916581649,0.1576882409
SundanceTV,408,0.5197187404,343892,1.379646345,2.654601879
Bravo,4451,5.669774789,1919452,7.700571505,1.358179433
CNN,12240,15.59156221,1630489,6.541292584,0.4195405499
NEWSMAX,150,0.1910730663,20321,0.08152499441,0.4266692107
