network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
TBS,1530,1.850798989,349428,1.316803783,0.7114785513
Crime + Investigation,1452,1.75644453,72714,0.2740194555,0.1560080325
truTV,2286,2.76531143,271550,1.023324025,0.3700574241
IFC,1100,1.330639796,338142,1.274272997,0.957639326
Bravo,4478,5.416913641,1975730,7.445450103,1.374481964
Oxygen,3720,4.499981855,2189107,8.24955178,1.833241121
CW,0,0,4944,0.01863124279,0
REELZChannel,840,1.016124935,123760,0.4663840225,0.4589829522
Investigation Discovery,2427,2.935875259,933977,3.519650535,1.198841989
CBS,0,0,263833,0.9942428555,0
BET Jams,150,0.1814508812,59798,0.2253460874,1.241912334
TV One,476,0.5758041298,37319,0.1406349817,0.2442410091
National Geographic,595,0.7197551623,357927,1.348831884,1.87401488
USA Network,2295,2.776198483,1134008,4.273458408,1.539320201
History Channel En Español,711,0.8600771771,47209,0.1779050042,0.2068477212
Laff TV,930,1.124995464,106143,0.3999951462,0.3555526748
ABC,0,0,408717,1.540231727,0
Univision,5100,6.169329962,143862,0.54213751,0.08787623832
FOX Business,990,1.197575816,304243,1.146526132,0.9573724827
BET Her,60,0.0725803525,22867,0.08617326634,1.187280901
Cartoon Network,847,1.024592643,390,0.00146969755,0.001434421338
MSNBC,4377,5.294736715,8570978,32.29934709,6.100274448
TNT,1530,1.850798989,425304,1.602739094,0.8659714555
MyNetworkTV,0,0,6815,0.02568202257,0
MTV Classic,410,0.4959657421,120532,0.4542194489,0.9158282728
VH1,3159,3.821355559,659758,2.486268503,0.6506247493
E!,9634,11.65398527,1516022,5.713061074,0.4902238113
SundanceTV,510,0.6169329962,364828,1.374837994,2.228504558
BETSOUL,220,0.2661279592,26706,0.1006403661,0.3781653246
NBC,0,0,340448,1.282963055,0
Independent TV,0,0,11406,0.04298300065,0
CNN,12240,14.80639191,1630863,6.145834244,0.4150798035
AMC,6460,7.814484619,742191,2.796913575,0.3579140162
NEWSMAX,150,0.1814508812,20316,0.07655993698,0.4219320207
FOX,7310,8.842706279,142023,0.5352073208,0.06052528535
WE tv,1143,1.382655715,544424,2.051637484,1.483838284
HLN,5537,6.697956863,2267790,8.546065145,1.275921198
