network,spend,spend_share,impressions,impression_share,imp/spend
National Geographic,716,0.73584576,1440258,5.595591402,7.604299304
HLN,3394,3.488073338,1633364,6.345833562,1.819294765
TNT,1272,1.307256714,882072,3.426965515,2.621493911
FXX,2040,2.096543786,349119,1.356373146,0.646956746
CBS,0,0,128104,0.497700857,0
FOX,1360,1.397695857,209563,0.814179766,0.582515689
VH1,3992,4.102648428,1075462,4.178311053,1.018442386
Oxygen,2524,2.593959076,2562169,9.954362917,3.837517333
Freeform,22100,22.71255768,3142737,12.20994581,0.537585682
IFC,845,0.868421323,603829,2.345954933,2.701401809
History Channel En Español,562,0.577577259,71810,0.278991277,0.483037157
UniMas,1682,1.728620906,35428,0.137642431,0.079625573
WE tv,770,0.791342507,889456,3.455653324,4.366823837
Cartoon Network,9044,9.294677451,89502,0.34772702,0.037411413
Univision,8330,8.560887126,289685,1.125464254,0.131465844
CW,0,0,50844,0.197535615,0
Hallmark Movies & Mysteries,4248,4.365744119,402620,1.564231554,0.358296664
USA Network,1624,1.669013288,1025856,3.985585231,2.387988914
REELZChannel,749,0.769760439,109875,0.426878799,0.554560585
Independent TV,850,0.873559911,16926,0.065759732,0.075277873
MyNetworkTV,5525,5.67813942,15144,0.058836428,0.01036192
AMC,1020,1.048271893,307992,1.196589352,1.141487586
BET Her,670,0.688570753,90445,0.351390698,0.510318942
PBS,0,0,344,0.001336485,0
ABC,0,0,247004,0.959642966,0
SundanceTV,340,0.349423964,502065,1.950588434,5.582297247
NBC,0,0,235191,0.91374791,0
MSNBC,454,0.466583764,698571,2.714040041,5.816833438
TBS,4590,4.717223518,387829,1.506766578,0.319418101
Hallmark Channel,4250,4.367799554,792494,3.078943226,0.704918618
TLC,1700,1.747119822,93050,0.361511465,0.20691853
Bravo,9828,10.100408,6041212,23.47090169,2.323757781
E!,2824,2.902274339,1319136,5.125016531,1.765862194
