network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
MSNBC,6036611,25.04221297,4080,2.345344101,10.67741529
SundanceTV,311199,1.290974627,510,0.293168013,4.403531666
Oxygen,1981971,8.221987451,3740,2.149898759,3.824360294
National Geographic,278896,1.156969205,595,0.342029348,3.382660615
BET Jams,67594,0.280406232,165.75,0.095279604,2.942982756
WE tv,461206,1.913262073,1147.5,0.659628028,2.900516641
HLN,2002536,8.307299079,5142.5,2.956110794,2.810212356
Bravo,1926719,7.992780641,5080.45,2.920442019,2.736839351
BET Her,23323,0.096752886,68,0.039089068,2.47519037
Investigation Discovery,852592,3.5368836,2499,1.436523262,2.462113697
USA Network,1240160,5.144666575,3910,2.24762143,2.288938211
IFC,335571,1.392079173,1105,0.635197361,2.191569517
TNT,444248,1.842913686,1530,0.879504038,2.095401052
MTV Classic,113414,0.470485433,425,0.244306677,1.925798503
VH1,574967,2.385186998,2210,1.270394721,1.877516458
BETSOUL,45170,0.187382748,246.5,0.141697873,1.322410455
ABC,294902,1.223368325,1799.41,1.034371478,1.182716608
TBS,249956,1.036914816,1530,0.879504038,1.178976755
E!,1399007,5.803625784,9639,5.540875439,1.047420367
MTV - Music Television,159974,0.663634443,1190,0.684058696,0.970142543
WGN America,213885,0.887278263,1601.18,0.920421095,0.963991664
NEWSMAX,52656,0.218437591,408,0.23453441,0.93136692
truTV,233720,0.969561566,2125,1.221533386,0.793724983
Laff TV,232116,0.96290755,2244,1.289939256,0.746475112
FOX Business,522341,2.166873858,5584.5,3.210189738,0.674998687
TV One,41916,0.173883889,476,0.273623478,0.635485998
AMC,1085455,4.502889996,12920,7.426922987,0.606292809
REELZChannel,178427,0.740184672,2507.5,1.441409395,0.513514533
CNN,793030,3.289797231,12240,7.036032303,0.467564259
History Channel En Español,45438,0.188494517,726.75,0.417764418,0.451198112
VICELAND,203659,0.844856833,3315,1.905592082,0.443356603
Crime + Investigation,60917,0.252707436,1190,0.684058696,0.369423614
CBS,163945,0.680107697,3585.76,2.061235555,0.329951468
MTV2,115044,0.477247308,2660.5,1.529359799,0.31205692
NBC,582630,2.416976105,14278.18,8.207658146,0.294478164
Freeform,73511,0.304952252,1870,1.07494938,0.283689872
Univision,351496,1.458142274,11560,6.64514162,0.219429827
Ovation TV,32798,0.136058875,1105,0.635197361,0.214199371
UniMas,92968,0.385667464,3315,1.905592082,0.20238721
WHDH,5571,0.023110677,247.62,0.142341693,0.162360562
CW,16658,0.06910387,874.98,0.502972839,0.137390859
Independent TV,15469,0.064171435,1617.64,0.929882949,0.069010229
FOX,147922,0.613638054,28551.89,16.41274676,0.037387895
MyNetworkTV,27032,0.112139262,5331.95,3.065014088,0.036586867
"Zee TV USA, Inc",11437,0.047445129,2380,1.368117392,0.034679136
METVN,873,0.003621544,297.12,0.170796235,0.021203886
EstrellaTV,4706,0.01952232,3060,1.759008076,0.011098483
Cartoon Network,105,0.000435581,1275,0.732920032,0.000594309
