network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
Univision,11560,6.67764203,351408,1.458507627,0.2184165639
VH1,2205,1.273719782,574495,2.384423062,1.872015412
Bravo,5062,2.924067816,1926055,7.994029469,2.7338728
Investigation Discovery,2490,1.43835023,852243,3.537207222,2.459211359
VICELAND,3310,1.912023799,203529,0.8447405831,0.4418044291
truTV,2118,1.223464171,233596,0.9695327017,0.7924487897
Independent TV,1415,0.8173757329,15458,0.06415793294,0.07849258347
ABC,1762,1.017820524,294749,1.223346266,1.201927292
MTV - Music Television,1190,0.6874043266,159881,0.6635809598,0.9653430072
BET Jams,150,0.08664760419,67582,0.2804969222,3.23721498
CNN,12240,7.070444502,792688,3.290026106,0.4653209717
MyNetworkTV,5284,3.05230627,27021,0.1121497934,0.03674264095
Laff TV,2232,1.28931635,231951,0.962705182,0.7466787974
USA Network,3910,2.258614216,1239397,5.144077475,2.277537013
Ovation TV,1096,0.6331051613,32795,0.1361145951,0.2149952384
SundanceTV,510,0.2946018543,311019,1.290874379,4.381759178
Cartoon Network,1059,0.6117320856,105,4.36E-04,7.12E-04
FOX,28506,16.4665107,147896,0.6138376019,0.03727794024
BET Her,60,0.03465904168,23312,0.0967557079,2.791644062
CBS,3580,2.067989487,163848,0.680045866,0.3288439667
Crime + Investigation,1180,0.6816278197,60862,0.2526057779,0.3705919427
EstrellaTV,3060,1.767611126,4703,0.01951965058,0.01104295526
WHDH,246,0.1421020709,5569,0.02311395579,0.1626574169
HLN,5134,2.965658666,2001212,8.305966186,2.800715497
TBS,1530,0.8838055628,249835,1.03693215,1.17325823
CW,855,0.4938913439,16652,0.06911359162,0.1399368353
MSNBC,4072,2.352193629,6034467,25.04586163,10.64787411
NEWSMAX,400,0.2310602778,52610,0.2183561167,0.9450179786
MTV2,2650,1.530774341,114960,0.4771377908,0.3116970138
TNT,1530,0.8838055628,443928,1.842508918,2.084744649
WGN America,1599,0.9236634607,213763,0.8872164717,0.9605408349
METVN,297,0.1715622563,873,0.003623358485,0.02111978802
AMC,12920,7.463246975,1084769,4.502298923,0.603262754
WE tv,1143,0.660254744,460893,1.912921606,2.897247803
BETSOUL,220,0.1270831528,45135,0.1873313691,1.474084998
Oxygen,3720,2.148860584,1980792,8.221213631,3.825847843
IFC,1100,0.6354157641,335361,1.391905069,2.190542236
MTV Classic,410,0.2368367848,113363,0.4705094936,1.986640268
FOX Business,5574,3.219824972,522051,2.166755922,0.6729421448
"Zee TV USA, Inc",2380,1.374808653,11423,0.04741079493,0.03448537716
Freeform,1870,1.080206799,73482,0.3049846829,0.2823391625
National Geographic,595,0.3437021633,278756,1.156967833,3.366193047
TV One,476,0.2749617306,41896,0.1738880035,0.6324080195
UniMas,3315,1.914912053,92931,0.3857071333,0.2014228971
REELZChannel,2497,1.442393784,178388,0.7403936694,0.5133089711
NBC,14258,8.236143604,582433,2.417369476,0.2935074462
History Channel En Español,711,0.4107096439,45420,0.1885142524,0.4589964108
E!,9634,5.565086792,1398114,5.80282729,1.042719998
