network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
IFC,1100,0.6354157641,67992,1.305154045,2.054015842
CNN,12240,7.070444502,175904,3.376600442,0.477565511
MyNetworkTV,5284,3.05230627,6073,0.1165754871,0.03819259169
CW,855,0.4938913439,4065,0.07803052116,0.157991271
USA Network,3910,2.258614216,262406,5.037066897,2.230158148
VICELAND,3310,1.912023799,46456,0.8917554468,0.4663934869
CBS,3580,2.067989487,36072,0.6924272963,0.3348311492
truTV,2118,1.223464171,55959,1.074172185,0.8779760051
WGN America,1599,0.9236634607,43189,0.8290430943,0.8975596953
ABC,1762,1.017820524,63079,1.210845571,1.189645465
Investigation Discovery,2490,1.43835023,182129,3.496093675,2.430627536
FOX Business,5574,3.219824972,113620,2.181015453,0.677370811
Cartoon Network,1059,0.6117320856,29,5.57E-04,9.10E-04
Crime + Investigation,1180,0.6816278197,13175,0.2529033496,0.3710285032
EstrellaTV,3060,1.767611126,967,0.01856224206,0.01050131547
Freeform,1870,1.080206799,17107,0.3283808427,0.3039981261
SundanceTV,510,0.2946018543,63344,1.215932431,4.127375349
MTV - Music Television,1190,0.6874043266,36448,0.6996448795,1.017806919
AMC,12920,7.463246975,237475,4.558498896,0.6107929848
TV One,476,0.2749617306,9107,0.1748152414,0.6357802629
National Geographic,595,0.3437021633,58422,1.121451195,3.26285754
BET Jams,150,0.08664760419,14687,0.2819272483,3.253722373
METVN,297,0.1715622563,154,0.002956137825,0.01723070032
HLN,5134,2.965658666,420643,8.074536904,2.722679112
BET Her,60,0.03465904168,4896,0.093982148,2.711619925
FOX,28506,16.4665107,35745,0.6861503023,0.04166944138
VH1,2205,1.273719782,127829,2.453767156,1.926457602
Ovation TV,1096,0.6331051613,7630,0.1464631922,0.2313410176
"Zee TV USA, Inc",2380,1.374808653,2110,0.04050292734,0.02946077423
Oxygen,3720,2.148860584,400322,7.684461081,3.576063118
MSNBC,4072,2.352193629,1280375,24.5776946,10.44883988
MTV2,2650,1.530774341,25169,0.4831365774,0.315615806
TNT,1530,0.8838055628,92415,1.773970631,2.007195593
NBC,14258,8.236143604,129207,2.480218831,0.3011383665
REELZChannel,2497,1.442393784,39511,0.7584413091,0.5258212544
BETSOUL,220,0.1270831528,9571,0.1837220463,1.445683729
Independent TV,1415,0.8173757329,2904,0.05574431327,0.06819912927
Univision,11560,6.67764203,93868,1.801861983,0.2698350668
WHDH,246,0.1421020709,1112,0.02134561858,0.150213283
MTV Classic,410,0.2368367848,23403,0.4492369709,1.896820932
Laff TV,2232,1.28931635,50374,0.9669642,0.7499821124
Bravo,5062,2.924067816,434442,8.33941837,2.85199212
History Channel En Español,711,0.4107096439,11272,0.2163739322,0.5268294413
UniMas,3315,1.914912053,24521,0.4706977637,0.2458064657
TBS,1530,0.8838055628,53610,1.029081486,1.164375434
NEWSMAX,400,0.2310602778,10416,0.1999424129,0.8653257702
WE tv,1143,0.660254744,98241,1.88580478,2.856177554
E!,9634,5.565086792,322055,6.182071216,1.11086699
