network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio,imp_over_spend_reduced,imp_reduced,imp_share_reduced,CPM_Reduced
TBS,1530,1.850798989,349428,1.316803783,0.7114785512999999,1.1014393070388109,349428,2.038542755912292,0.8757168858820701
Crime + Investigation,1452,1.75644453,72714,0.2740194555,0.1560080325,0.24151589535698245,72714,0.4242092733078242,3.993728855516132
truTV,2286,2.76531143,271550,1.023324025,0.3700574241,0.5728855664806969,271550,1.584207005071096,1.683667832811637
IFC,1100,1.330639796,338142,1.274272997,0.9576393259999999,1.4825205815621163,338142,1.972700884215616,0.650614238988354
Bravo,4478,5.416913641,1975730,7.445450103,1.3744819640000001,1.5026103176700893,1395199,8.13951032689445,0.6419155977032667
Oxygen,3720,4.499981855,2189107,8.24955178,1.833241121,1.5026104732659844,1159031,6.761719864829892,0.6419155311635323
CW,0,0.0,4944,0.018631242790000002,0.0,inf,4944,0.028843010248836305,0.0
REELZChannel,840,1.016124935,123760,0.4663840225,0.45898295219999996,0.710551096724437,123760,0.7220086869732971,1.3574660633484161
Investigation Discovery,2427,2.935875259,933977,3.519650535,1.1988419890000002,1.5026099618709061,756174,4.411475410983726,0.6419157495497068
CBS,0,0.0,263833,0.9942428555,0.0,inf,263833,1.5391864730949087,0.0
BET Jams,150,0.1814508812,59798,0.22534608739999998,1.241912334,1.922603370752767,59798,0.3488580758211799,0.5016890196996555
TV One,476,0.5758041298,37319,0.1406349817,0.2442410091,0.3781092871429665,37319,0.21771688905265413,2.550979393874434
National Geographic,595,0.7197551623,357927,1.348831884,1.87401488,2.2038242506242507,271894,1.5862138811887334,0.4376705627928531
USA Network,2295,2.776198483,1134008,4.273458408,1.539320201,2.2038284535768824,1048736,6.118265209612376,0.437669728129863
History Channel En Español,711,0.8600771771,47209,0.17790500420000002,0.2068477212,0.32022077177233305,47209,0.2754145774347316,3.0121375161515815
Laff TV,930,1.1249954640000002,106143,0.3999951462,0.35555267479999997,0.5504307768417882,106143,0.619232127193008,1.7523529578022101
ABC,0,0.0,408717,1.5402317269999999,0.0,inf,408717,2.3844313551524325,0.0
Univision,5100,6.169329962000001,143862,0.54213751,0.08787623832000001,0.1360411257456156,143862,0.839282593126636,7.090128039371064
FOX Business,990,1.1975758159999998,304243,1.146526132,0.9573724827,1.4821074822834335,304243,1.774936077495288,0.6507955811637408
BET Her,60,0.0725803525,22867,0.08617326634,1.1872809009999998,1.838028498732771,22867,0.13340475634307034,0.5247736913456073
Cartoon Network,847,1.024592643,390,0.00146969755,0.0014344213380000001,0.002220626386978132,390,0.0022752374589494655,434.35897435897436
MSNBC,4377,5.294736715,8570978,32.29934709,6.1002744479999995,1.502610660720689,1363731,7.95592783366824,0.641915451067696
TNT,1530,1.850798989,425304,1.6027390940000001,0.8659714555,1.3406096335749695,425304,2.4811989544642143,0.7194853563568647
MyNetworkTV,0,0.0,6815,0.025682022569999997,0.0,inf,6815,0.0397583161095913,0.0
MTV Classic,410,0.4959657421,120532,0.4542194489,0.9158282728,1.4177929277261638,120532,0.7031767215438385,0.680317260146683
VH1,3159,3.8213555589999997,659758,2.4862685030000002,0.6506247493,1.0072315910328509,659758,3.848990039593799,0.9576238560199346
E!,9634,11.65398527,1516022,5.713061074,0.49022381130000003,0.7589150424264435,1516022,8.844384725619197,1.2709578093193898
SundanceTV,510,0.6169329962,364828,1.374837994,2.228504558,1.5026065840772806,158899,0.927007582024644,0.641917192682144
BETSOUL,220,0.26612795920000004,26706,0.10064036609999999,0.3781653246,0.5854373998379064,26706,0.1558012604582165,1.6475698344941212
NBC,0,0.0,340448,1.282963055,0.0,inf,340448,1.98615395493443,0.0
Independent TV,0,0.0,11406,0.042983000650000006,0.0,inf,11406,0.06654194476096822,0.0
CNN,12240,14.80639191,1630863,6.145834244,0.4150798035,0.6425846715338619,1630863,9.51436048208898,1.5010457653401912
AMC,6460,7.814484619,742191,2.796913575,0.35791401619999996,0.5540863675947922,742191,4.329899397167084,1.740791790792397
NEWSMAX,150,0.1814508812,20316,0.07655993697999999,0.4219320207,0.6531925830330984,20316,0.11852236978465985,1.4766686355581806
FOX,7310,8.842706279,142023,0.5352073208,0.06052528535,0.09369913997754746,142023,0.8285539734163588,10.294107292480795
WE tv,1143,1.382655715,544424,2.051637484,1.483838284,2.203825690400289,522311,3.0471321856957805,0.4376702769039902
HLN,5537,6.697956863,2267790,8.546065145,1.275921198,1.9752524624849912,2267790,13.230155787258997,0.48831681945859184
