network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
Ovation TV,1096,0.816277892,32788,0.1357902472,0.1663529645
HLN,5134,3.823695892,2001237,8.288046449,2.16754854
truTV,2118,1.577442131,233590,0.9674040456,0.6132738735
"Zee TV USA, Inc",2380,1.772574254,11423,0.04730791735,0.0266888212
Independent TV,1068,0.7954240772,19273,0.07981839193,0.1003469649
METVN,99,0.07373313075,873,0.003615496091,0.04903489183
WE tv,1143,0.8512825096,460905,1.908820419,2.242287839
REELZChannel,2497,1.859713409,178388,0.7387870752,0.3972585623
UniMas,3315,2.468942712,92931,0.3848701801,0.1558846134
E!,9634,7.175201835,1398121,5.790264616,0.8069828207
National Geographic,595,0.4431435636,278756,1.154457306,2.605154178
TV One,476,0.3545148509,41896,0.1735106807,0.489431346
FOX Business,5574,4.151398695,522074,2.162149492,0.5208243415
MyNetworkTV,1223,0.9108648375,29860,0.1236640473,0.1357655298
TBS,1530,1.139512021,249846,1.034727648,0.9080445214
NBC,4615,3.43715554,585410,2.424453112,0.705366133
Investigation Discovery,2490,1.854499955,852273,3.529656014,1.903292585
Univision,11560,8.609646379,377218,1.562233911,0.1814515768
WHDH,246,0.1832156582,5569,0.02306380038,0.1258833475
VICELAND,3310,2.465218816,203518,0.8428620085,0.341901499
MTV Classic,410,0.3053594304,113363,0.4694885262,1.537494767
MSNBC,4072,3.032740489,6034489,24.99160526,8.240601313
USA Network,3910,2.912086275,1239401,5.13293181,1.762630405
BET Her,60,0.04468674591,23312,0.09654575586,2.160500925
CBS,3351,2.495754759,166762,0.6906384411,0.2767252826
NEWSMAX,400,0.2979116394,52610,0.2178823016,0.7313655219
Laff TV,2232,1.662346948,231951,0.9606161899,0.5778674488
ABC,1422,1.059075878,299601,1.240786076,1.171574296
IFC,1100,0.8192570084,335361,1.388884747,1.695297975
WGN America,1599,1.190901779,213753,0.8852498693,0.7433441492
MTV - Music Television,1190,0.8862871272,159881,0.6621410429,0.747095408
BET Jams,150,0.1117168648,67576,0.2798634179,2.505113426
CNN,12240,9.116096166,792683,3.282866309,0.3601175601
EstrellaTV,3060,2.279024041,4703,0.01947729452,0.008546331309
MTV2,2650,1.973664611,114960,0.4761024405,0.241227632
AMC,12920,9.622545953,1084775,4.492554149,0.4668779106
BETSOUL,220,0.1638514017,45140,0.1869455825,1.140945885
Oxygen,3720,2.770578246,1980791,8.203370123,2.960887365
TNT,1530,1.139512021,443929,1.838514965,1.613423054
CW,695,0.5176214735,18950,0.07848069979,0.1516179367
VH1,2205,1.642237912,574495,2.379249057,1.448784637
SundanceTV,510,0.3798373402,311013,1.288048437,3.391052697
FOX,4637,3.45354068,154650,0.6404770566,0.185455194
History Channel En Español,711,0.529537939,45419,0.1881010503,0.3552173253
Freeform,1870,1.392736914,73482,0.3043228909,0.2185070904
Cartoon Network,1059,0.7887210653,105,4.35E-04,5.51E-04
Bravo,5062,3.770071797,1926074,7.976761761,2.115811632
Crime + Investigation,1180,0.8788393363,60886,0.2521570389,0.2869205195
