network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio,CPM
MSNBC,1282521,24.50529726,4080,2.345344101,10.44848696,0.636246892
SundanceTV,63523,1.213742307,510,0.293168013,4.140091194,1.605717614
Oxygen,401500,7.671513254,3740,2.149898759,3.568313727,1.863013699
National Geographic,58562,1.118951829,595,0.342029348,3.271508234,2.032034425
BET Jams,14698,0.280836617,165.75,0.095279604,2.947499833,2.255408899
WE tv,98554,1.883084227,1147.5,0.659628028,2.854766848,2.328672606
Bravo,435106,8.313627512,5080.45,2.920442019,2.846701786,2.335270026
HLN,421967,8.062578912,5142.5,2.956110794,2.727427852,2.437394393
Investigation Discovery,182478,3.486631122,2499,1.436523262,2.427131683,2.738960313
BET Her,4907,0.093758694,68,0.039089068,2.398591159,2.771550846
USA Network,263169,5.028404662,3910,2.24762143,2.237211567,2.971474604
IFC,68202,1.303144575,1105,0.635197361,2.051558548,3.240374183
TNT,92736,1.771918937,1530,0.879504038,2.014679706,3.299689441
VH1,128301,2.451464065,2210,1.270394721,1.92968691,3.445023811
MTV Classic,23454,0.44813866,425,0.244306677,1.834328332,3.62411529
BETSOUL,9606,0.183543104,246.5,0.141697873,1.295313053,5.132209036
ABC,64145,1.225626943,1799.41,1.034371478,1.184900173,5.610445085
TBS,53732,1.026664384,1530,0.879504038,1.167321968,5.694930395
E!,322950,6.170648083,9639,5.540875439,1.113659412,5.9693451
MTV - Music Television,36541,0.698193688,1190,0.684058696,1.02066342,6.513231712
WGN America,43311,0.827548968,1601.18,0.920421095,0.89909822,7.393872226
truTV,56082,1.071566143,2125,1.221533386,0.877230336,7.57818908
NEWSMAX,10462,0.199898809,408,0.23453441,0.852321877,7.799655898
Laff TV,50539,0.965655313,2244,1.289939256,0.748605261,8.880270682
FOX Business,113913,2.176550658,5584.5,3.210189738,0.678013088,9.804851071
TV One,9127,0.174390788,476,0.273623478,0.63733854,10.43059056
AMC,238162,4.550592627,12920,7.426922987,0.612715742,10.84975773
REELZChannel,39550,0.755687047,2507.5,1.441409395,0.524269544,12.68015171
History Channel En Español,11289,0.215700406,726.75,0.417764418,0.516320675,12.8753654
CNN,176246,3.367555479,12240,7.036032303,0.478615693,13.88967693
VICELAND,46585,0.890105716,3315,1.905592082,0.467101918,14.23204894
Crime + Investigation,13234,0.252863777,1190,0.684058696,0.369652163,17.98398066
CBS,36712,0.701461008,3585.76,2.061235555,0.340310939,19.53453912
MTV2,25253,0.482512389,2660.5,1.529359799,0.31549959,21.07076387
Freeform,17136,0.327419804,1870,1.07494938,0.304590904,21.82539683
NBC,129953,2.483029046,14278.18,8.207658146,0.302525885,21.97437535
Univision,101113,1.931979377,11560,6.64514162,0.290735621,22.86550691
UniMas,24558,0.469232933,3315,1.905592082,0.246239968,26.99731248
Ovation TV,7631,0.14580652,1105,0.635197361,0.229545223,28.96081772
CW,4490,0.08579102,874.98,0.502972839,0.170567898,38.97461024
WHDH,1114,0.021285344,247.62,0.142341693,0.149536963,44.45601436
Independent TV,3641,0.069569065,1617.64,0.929882949,0.074814863,88.85690744
FOX,37014,0.707231361,28551.89,16.41274676,0.043090372,154.2761658
MyNetworkTV,6604,0.126183496,5331.95,3.065014088,0.041168977,161.476378
"Zee TV USA, Inc",2124,0.040583547,2380,1.368117392,0.02966379,224.1054614
METVN,154,0.002942498,297.12,0.170796235,0.017228121,385.8701299
EstrellaTV,970,0.018533917,3060,1.759008076,0.010536573,630.9278351
Cartoon Network,29,0.000554107,1275,0.732920032,0.000756026,8793.103448
