network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
truTV,2118,1.577442131,55958,1.071673504,0.6793742117
NEWSMAX,400,0.2979116394,10416,0.1994808824,0.669597478
FOX,4637,3.45354068,36985,0.708314174,0.2050979675
Univision,11560,8.609646379,101022,1.934711761,0.224714428
SundanceTV,510,0.3798373402,63343,1.213106522,3.193752677
Freeform,1870,1.392736914,17107,0.3276228356,0.2352366999
WGN America,1599,1.190901779,43189,0.8271294,0.694540402
AMC,12920,9.622545953,237476,4.547995587,0.472639529
TBS,1530,1.139512021,53611,1.026725191,0.9010218164
VH1,2205,1.642237912,127829,2.448103084,1.490711586
Bravo,5062,3.770071797,434442,8.320168348,2.206899178
Investigation Discovery,2490,1.854499955,182129,3.488023582,1.880843174
BET Her,60,0.04468674591,4896,0.0937652074,2.098277811
WHDH,246,0.1832156582,1112,0.02129634613,0.116236496
CNN,12240,9.116096166,175904,3.368806177,0.3695448266
REELZChannel,2497,1.859713409,39511,0.7566905861,0.4068855892
EstrellaTV,3060,2.279024041,967,0.01851939452,0.008126019814
BETSOUL,220,0.1638514017,9571,0.1832979575,1.118684098
NBC,4615,3.43715554,129754,2.48496951,0.7229726678
Laff TV,2232,1.662346948,50374,0.96473214,0.5803434363
BET Jams,150,0.1117168648,14686,0.2812573194,2.517590518
VICELAND,3310,2.465218816,46455,0.8896778411,0.3608920374
CW,695,0.5176214735,4483,0.08585568317,0.1658657679
Crime + Investigation,1180,0.8788393363,13179,0.2523961741,0.2871926229
Independent TV,1068,0.7954240772,3629,0.06950039576,0.08737527283
Cartoon Network,1059,0.7887210653,29,5.55E-04,7.04E-04
UniMas,3315,2.468942712,24521,0.469611244,0.1902074284
TNT,1530,1.139512021,92416,1.769894895,1.553204234
USA Network,3910,2.912086275,262406,5.025439749,1.725718016
Oxygen,3720,2.770578246,400321,7.666703757,2.76718543
E!,9634,7.175201835,322057,6.167839338,0.8596049951
FOX Business,5574,4.151398695,113623,2.176038431,0.5241699464
WE tv,1143,0.8512825096,98241,1.881451744,2.210137907
HLN,5134,3.823695892,420643,8.055898312,2.106835517
National Geographic,595,0.4431435636,58422,1.11886253,2.524830826
TV One,476,0.3545148509,9107,0.1744117124,0.4919729369
MSNBC,4072,3.032740489,1280377,24.52099979,8.085426325
History Channel En Español,711,0.529537939,11271,0.2158553212,0.4076295678
ABC,1422,1.059075878,63988,1.225459169,1.157102333
MTV - Music Television,1190,0.8862871272,36448,0.6980298773,0.7875888703
Ovation TV,1096,0.816277892,7628,0.146086806,0.1789670006
CBS,3351,2.495754759,36608,0.7010940998,0.2809146601
MTV Classic,410,0.3053594304,23403,0.4481999895,1.467778444
MyNetworkTV,1223,0.9108648375,6591,0.1262268141,0.1385790832
MTV2,2650,1.973664611,25169,0.482021345,0.2442265734
IFC,1100,0.8192570084,67992,1.302141336,1.58941739
"Zee TV USA, Inc",2380,1.772574254,2110,0.04040943375,0.02279703298
METVN,99,0.07373313075,154,0.002949314122,0.03999984934
