network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend_Ratio
History Channel En Español,1020,1.572933212,65449,0.327848372,0.20843121
MSNBC,1296,1.998550434,2770781,13.87944874,6.944757811
REELZChannel,840,1.295356763,117460,0.58838286,0.454224563
Cartoon Network,2718,4.191404383,107631,0.539147247,0.128631646
Independent TV,1134,1.74873163,21752,0.108960531,0.062308321
National Geographic,255,0.393233303,110690,0.554470447,1.41002922
TV One,867,1.33699323,47387,0.237371859,0.177541557
USA Network,2380,3.670177495,942953,4.723458052,1.286983548
MyNetworkTV,1302,2.007802982,27509,0.137798605,0.068631537
ABC,4246,6.547720018,310894,1.557336121,0.237844031
E!,3284,5.064228106,1827633,9.155013888,1.807780711
SundanceTV,510,0.786466606,384845,1.927772873,2.451182108
FOX,4271,6.586272302,142656,0.714595141,0.108497661
HLN,850,1.310777677,622231,3.116891327,2.377894728
VH1,590,0.909833917,314018,1.572984921,1.728870393
NEWSMAX,900,1.387882246,105245,0.52719525,0.379855893
BET Jams,150,0.231313708,63077,0.315966505,1.365965329
truTV,420,0.647678381,174056,0.871884616,1.346169089
CBS,503,0.775671966,221340,1.108740526,1.429393576
IFC,1100,1.696300523,377734,1.892152317,1.115458194
WE tv,1270,1.958456058,490627,2.457658074,1.254895694
FXX,1190,1.835088747,48997,0.245436702,0.133746503
Bravo,3667,5.654849106,1864424,9.339308063,1.651557431
TBS,1530,2.359399818,515409,2.581796538,1.09425987
CW,732,1.128810893,18067,0.090501559,0.080174243
METVN,147,0.226687434,2247,0.011255715,0.049653017
WGN America,1630,2.513608956,99935,0.500596297,0.199154406
Investigation Discovery,840,1.295356763,663073,3.321477848,2.564141357
AMC,1700,2.621555353,764081,3.827449037,1.459991692
Oxygen,3686,5.684148843,2635188,13.20023371,2.322288539
TNT,1530,2.359399818,603992,3.025528182,1.282329582
NBC,18289,28.20330933,3501811,17.54133808,0.621960277
