network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
NEWSMAX,625,0.3440284911,96239,0.4662691419,1.355321301
WGN America,553,0.3043964089,151207,0.7325840682,2.406677762
TBS,1530,0.8421817461,305215,1.478738725,1.755842764
SundanceTV,459,0.2526545238,243782,1.181101466,4.674768723
History Channel En Español,1020,0.5614544974,52102,0.2524294188,0.449599068
VH1,2767,1.523082936,573511,2.778608276,1.824331565
truTV,2328,1.281437324,714831,3.463290734,2.702661044
MSNBC,2938,1.617209131,3210403,15.55410854,9.617870841
Bravo,2201,1.211530734,1307021,6.332397055,5.226773763
Cartoon Network,1144,0.62970975,638,0.003091051575,0.004908692576
IFC,1100,0.6054901443,291830,1.413889626,2.335115838
Univision,9010,4.959514727,304803,1.476742623,0.2977594995
Oxygen,3720,2.047657579,2091558,10.13340698,4.94878005
NBC,3107,1.710234435,365603,1.771313055,1.035713595
CBS,523,0.2878830413,29816,0.1444557896,0.5017863815
BET Her,892,0.4909974624,58337,0.2826374228,0.575639274
REELZChannel,840,0.462374292,122581,0.5938937197,1.284443642
WHDH,279,0.1535743184,16081,0.07791097239,0.5073177156
MTV Classic,410,0.2256826901,112075,0.5429931118,2.406002478
ABC,74998,41.28231804,528810,2.562036024,0.06206134118
Investigation Discovery,2490,1.370609508,846419,4.100822544,2.99197001
National Geographic,680,0.3743029983,457753,2.217771366,5.925069734
TV One,476,0.2620120988,34583,0.1675514681,0.6394798898
AMC,15810,8.70254471,987654,4.785093186,0.5498498824
UniMas,3315,1.824727117,88411,0.4283431988,0.2347437022
USA Network,3910,2.15224224,871789,4.223737871,1.962482565
FXX,3825,2.105454365,168908,0.8183437923,0.3886780002
E!,9634,5.302992773,2002150,9.700233403,1.829199816
CW,520,0.2862317046,15953,0.07729082411,0.2700288713
FOX,5728,3.152952315,273719,1.326143489,0.4206037253
CNN,6800,3.743029983,392170,1.900027737,0.5076175574
Crime + Investigation,1180,0.6495257911,66040,0.3199577524,0.4926020749
HLN,4946,2.722503867,2052178,9.942614482,3.652011152
WE tv,1270,0.6990658938,524036,2.538906431,3.631855672
BET Jams,150,0.08256683786,58677,0.2842846917,3.443085615
BETSOUL,220,0.1210980289,43334,0.2099492617,1.733713287
VICELAND,3310,1.821974889,171717,0.83195314,0.4566216281
TNT,1530,0.8421817461,588010,2.848854603,3.382707612
Independent TV,936,0.5152170682,12860,0.06230552235,0.1209306255
MyNetworkTV,1335,0.7348448569,28868,0.1398628164,0.1903297208
Laff TV,3162,1.740508942,378553,1.834054619,1.053746163
