,network,impressions,impression_share,spend,spend_share,imp/spend,CPM
0,MSNBC,2635941,17.65523694,1292,1.733082492,10.18718787,0.098029508
1,National Geographic,418809,2.805135672,510,0.68411151,4.100407069,0.243547775
2,IFC,247944,1.660701081,306,0.410466906,4.045883009,0.246829929
3,Oxygen,1380909,9.249173481,1886.15,2.530072402,3.655695179,0.273175133
4,AMC,718561,4.812840922,1020,1.36822302,3.517585109,0.283900741
5,WE tv,492135,3.29626499,765,1.026167265,3.212210233,0.310890304
6,Bravo,1447833,9.697422921,3654.15,4.90165897,1.978396086,0.504775067
7,HLN,848777,5.685013074,2252.5,3.021492503,1.881524799,0.530763675
8,BET Jams,75097,0.502991277,221,0.296448321,1.696724997,0.588572113
9,Investigation Discovery,862130,5.774449969,2992,4.013454193,1.43877311,0.694094858
10,USA Network,550250,3.685512737,2210,2.964483211,1.243222671,0.80327124
11,NEWSMAX,111407,0.746191581,459,0.615700359,1.211939493,0.824005673
12,E!,1965388,13.16394822,8882.5,11.91494214,1.104826869,0.903892768
13,REELZChannel,48672,0.325999593,255,0.342055755,0.953059809,1.047830375
14,BETSOUL,61623,0.412743937,343.4,0.460635084,0.896032352,1.11451893
15,TNT,271364,1.817565613,1530,2.052334531,0.885608845,1.12763668
16,VH1,514286,3.444629902,3145,4.218687646,0.816516934,1.223054876
17,Cartoon Network,231216,1.548658815,2146.25,2.878969272,0.537921273,1.85648917
18,Crime + Investigation,65071,0.435838254,671.5,0.900746822,0.483863216,2.063899433
19,Hallmark Drama,198569,1.329992873,2269.5,3.04429622,0.436880243,2.285855295
20,BET Her,87839,0.588335762,1300.5,1.744484351,0.337254824,2.961099284
21,Fuse TV,59652,0.3995424,892.5,1.197195143,0.333732059,2.992355663
22,Hallmark Channel,947997,6.349577497,15300,20.52334531,0.309383164,3.227858316
23,NEWSY,20767,0.139095035,382.5,0.513083633,0.271096223,3.683728993
24,Hallmark Movies & Mysteries,250486,1.677727112,4760,6.385040762,0.262759029,3.800611611
25,Lifetime Real Women,21649,0.145002572,436.05,0.584915341,0.24790352,4.028361587
26,BabyFirst TV,36466,0.244245175,935,1.254204435,0.194741119,5.128064498
27,MTV2,59722,0.400011252,1615,2.166353116,0.184647299,5.408392217
28,FOX,93874,0.628757515,1360,3.648594721,0.172328681,5.795001811
29,Ovation TV,19310,0.129336213,629,0.843737529,0.153289629,6.514759192
30,Universal Kids,16392,0.109791776,586.5,0.786728237,0.139554894,7.155929722
31,Revolt,28862,0.193314436,1066.75,1.430933242,0.135096754,7.392072621
32,UniMas,64783,0.433909262,2890,3.876631891,0.111929447,8.922093759
33,Galavision Cable Network,6348,0.042518191,340,0.45607434,0.09322645,10.71203529
34,QUBO,16328,0.109363111,892.5,1.197195143,0.091349444,10.93214111
35,"Tr3s: MTV, Musica y Mas",18522,0.124058277,1292,1.733082492,0.071582442,13.95097722
36,CW,21098,0.141312036,850,2.280371701,0.061968861,16.11527159
37,Independent TV,4810,0.03221684,0,0,,0
38,ABC,5208,0.034882599,0,0,,0
39,CBS,812,0.005438685,0,0,,0
40,MyNetworkTV,3101,0.02077015,0,0,,0
41,PBS,72,0.000482248,0,0,,0
