,network,impressions,impression_share,spend,spend_share,imp/spend,CPM
0,MSNBC,9443267,38.55273696,5627,8.806470494,4.377773932,0.119174858
1,AMC,1383322,5.647499875,850,1.330282552,4.245338606,0.122892573
2,IFC,300061,1.22501808,382.5,0.598627148,2.046379091,0.254948161
3,Bravo,3268997,13.34588776,5191.8,8.125365828,1.642496848,0.317638713
4,WE tv,533460,2.177884313,892.5,1.39679668,1.559199234,0.334608031
5,SundanceTV,131869,0.538363563,255,0.399084766,1.348995526,0.386747454
6,Oxygen,950178,3.879162,2108,3.299100729,1.175824056,0.443706337
7,HLN,1703657,6.955287846,3965.25,6.205768105,1.120777916,0.46549863
8,BET Jams,68656,0.280292478,165.75,0.259405098,1.080520316,0.482841995
9,Investigation Discovery,1313045,5.360589561,3476.5,5.440855638,0.985247527,0.529532499
10,VICELAND,202451,0.826519059,552.5,0.864683659,0.955862933,0.545811085
11,USA Network,688901,2.812482062,2486.25,3.891076465,0.722803082,0.721801826
12,TNT,400745,1.636066901,1530,2.394508594,0.683257895,0.763577836
13,NEWSMAX,84082,0.343270102,382.5,0.598627148,0.573428892,0.909826122
14,FOX,259911,1.061103156,1360,2.128452083,0.49853279,1.046512075
15,E!,1627199,6.643143208,8755,13.70191029,0.48483336,1.076082274
16,REELZChannel,44703,0.182502835,255,0.399084766,0.457303437,1.140863029
17,VH1,654181,2.670735458,5057.5,7.915181184,0.337419371,1.54620816
18,Hallmark Channel,569557,2.325252607,5950,9.311977864,0.249705556,2.089343121
19,Cartoon Network,204027,0.832953179,2146.25,3.358963444,0.247979233,2.103888211
20,BET Her,53880,0.21996852,748,1.170648646,0.187903109,2.77654046
21,Fuse TV,50696,0.206969638,782,1.223859948,0.169112192,3.08505602
22,Hallmark Movies & Mysteries,262952,1.073518232,4250,6.65141276,0.161397025,3.232529131
23,History Channel En Español,43652,0.178212061,731,1.144042995,0.155773919,3.349216531
24,Lifetime Real Women,18904,0.07717678,504.9,0.790187836,0.097668904,5.341726619
25,Revolt,24471,0.099904411,816,1.27707125,0.078229316,6.669118548
26,CW,49403,0.201690883,850,2.660565104,0.075807535,6.882173147
27,ABC,43467,0.177456787,2125,3.32570638,0.053359126,9.777532381
28,Independent TV,9647,0.03938449,850,1.330282552,0.029606109,17.62205867
29,MyNetworkTV,16175,0.066035464,0,0,,0
30,NBC,60754,0.248032062,0,0,,0
31,CBS,27291,0.11141724,0,0,,0
32,PBS,853,0.003482427,0,0,,0
