network,spend,spend_share,impressions,impression_share,imp/spend
Cartoon Network,2110,3.441807357,259282,0.73459276,0.213432271
IFC,325,0.530136204,320631,0.908405563,1.713532401
Hallmark Movies & Mysteries,4250,6.932550363,251312,0.712012309,0.102705682
Revolt,770,1.256015007,20610,0.058391854,0.046489774
Crime + Investigation,35,0.057091591,46475,0.131672073,2.306330415
Univision,8330,13.58779871,448865,1.271715657,0.093592471
MSNBC,3472,5.663485849,8092727,22.92815799,4.048417988
Lifetime Real Women,562,0.916727836,25265,0.071580311,0.078082401
Investigation Discovery,3778,6.162629476,2425356,6.871471822,1.115022711
AMC,850,1.386510073,1948788,5.52126856,3.982133754
BET Her,692,1.128782318,31121,0.088171417,0.078111975
Oxygen,3511,5.727102194,3091778,8.759565774,1.529493534
UPtv,1360,2.218416116,34343,0.097299925,0.043860088
NEWSMAX,240,0.391485197,54945,0.155669114,0.397637293
BET Jams,132,0.215316858,61929,0.175456048,0.814873713
Bravo,5331,8.695864938,9544724,27.04192787,3.109745617
HLN,4629,7.550770736,1441825,4.08495077,0.540997855
VH1,5627,9.178696681,1069695,3.030639234,0.33018187
SundanceTV,420,0.685099095,462529,1.310428238,1.912757218
Fuse TV,755,1.231547182,61474,0.174166951,0.141421257
USA Network,2370,3.86591632,786978,2.229650885,0.57674577
TNT,1275,2.079765109,1414012,4.006151515,1.926251911
National Geographic,504,0.822118914,476978,1.351364866,1.643758396
WE tv,756,1.23317837,519107,1.470723936,1.192628716
VICELAND,1690,2.756708262,295560,0.837374889,0.30375898
History Channel En Español,686,1.118995188,38886,0.110171065,0.098455352
E!,6620,10.79846668,2023858,5.733955436,0.530997187
REELZChannel,225,0.367017372,46966,0.133063165,0.36255277
