network,spend,spend_share,impressions,impression_share,imp/spend
ABC,1085,0.955290637,262599,1.190738108,1.246466846
WE tv,1270,1.118174294,729155,3.306305984,2.956878906
truTV,2712,2.387786367,406733,1.844304369,0.772390861
Independent TV,6000,5.282713202,18412,0.083488018,0.015804004
TNT,1530,1.347091866,378833,1.717793631,1.275186699
SundanceTV,510,0.449030622,437971,1.985951051,4.42275193
CBS,1127,0.99226963,117404,0.532360812,0.536508219
IFC,1010,0.889256722,417902,1.894949474,2.13093635
COZI TV,306,0.269418373,16622,0.075371379,0.279755899
WHDH,442,0.389159873,37827,0.171524074,0.440754781
VH1,3730,3.284086707,695144,3.152085314,0.959805753
Laff TV,1360,1.197414992,199642,0.905263681,0.756014988
TBS,4590,4.041275599,619853,2.810683165,0.695494058
REELZChannel,840,0.739579848,131083,0.594387349,0.803682456
FOX,4318,3.801792601,235868,1.069528125,0.28132206
NBC,5189,4.568666467,855005,3.876964635,0.848598746
MyNetworkTV,604,0.531793129,21053,0.095463461,0.1795124
History Channel En Español,948,0.834668686,65407,0.296583793,0.355331161
CW,4470,3.935621335,29493,0.133734093,0.033980427
CNN,3060,2.694183733,185882,0.842869855,0.312847949
Freeform,14280,12.57285742,1263858,5.730882006,0.455813807
HLN,6285,5.533642079,1975978,8.959943889,1.619176622
MSNBC,414,0.364507211,563854,2.556759337,7.014290145
E!,8362,7.362341298,1884601,8.545600818,1.16071783
BET Jams,1080,0.950888376,59389,0.269295563,0.28320418
Investigation Discovery,3522,3.100952649,1758988,7.976016829,2.572118227
TV One,2805,2.469668422,177139,0.803225289,0.325236085
WGN America,1692,1.489725123,46965,0.212959742,0.142952373
Bravo,3297,2.902850904,2275925,10.32003408,3.55513749
AMC,8330,7.334166828,1349696,6.120108841,0.834465453
Oxygen,3372,2.968884819,2189758,9.929315413,3.344459626
USA Network,7480,6.585782458,2259299,10.24464456,1.555569839
Cartoon Network,3478,3.062212752,145816,0.66119318,0.215920066
Lifetime Movies,4080,3.592244977,240310,1.089670085,0.303339581
