,network,impressions,impression_share,spend,spend_share,imp/spend,CPM
0,MSNBC,3441365,25.40648651,1589.5,1.701577827,14.93113398,0.092376136
1,National Geographic,311040,2.296307879,425,0.454967333,5.047192865,0.273276749
2,WE tv,372227,2.748031741,765,0.8189412,3.355591026,0.4110395
3,BET Jams,98317,0.725842662,229.5,0.24568236,2.954394701,0.466857207
4,Oxygen,1280260,9.451746158,2991.15,3.202060092,2.951770387,0.467272273
5,E!,1371928,10.1285014,3272.5,3.503248467,2.891174148,0.477065852
6,AMC,343649,2.537049596,850,0.909934667,2.788166765,0.494690804
7,Investigation Discovery,821775,6.066899457,2371.5,2.53871772,2.389749522,0.577165282
8,HLN,753263,5.561097485,2252.5,2.411326867,2.30623959,0.598064687
9,Bravo,1185632,8.753138191,3613.35,3.868132268,2.262884923,0.609523022
10,IFC,289349,2.13617023,1130.5,1.210213107,1.765119067,0.781409302
11,NEWSMAX,108676,0.802319814,459,0.49136472,1.632839684,0.844712724
12,VH1,521618,3.850937253,2507.5,2.684307267,1.434611194,0.961431546
13,USA Network,478314,3.531237805,2762.5,2.957287667,1.194079915,1.155098952
14,BETSOUL,44961,0.331932544,267.75,0.28662942,1.15805469,1.191032228
15,VICELAND,218785,1.615219005,2040,2.1838432,0.739622243,1.864844482
16,Laff TV,185040,1.366090567,1853,1.983657573,0.688672574,2.002810203
17,REELZChannel,147008,1.085312592,1551.25,1.660630767,0.653554429,2.110429364
18,Cartoon Network,159828,1.179958512,1827.5,1.956359533,0.60313991,2.286833346
19,BET Her,90768,0.670110833,1045.5,1.11921964,0.598730409,2.303675304
20,Hallmark Drama,216638,1.599368397,2622.25,2.807148447,0.569748422,2.42085876
21,NEWSY,21805,0.160979274,280.5,0.30027844,0.536100007,2.572804403
22,Fuse TV,51391,0.379403158,782,0.837139893,0.453213568,3.043334436
23,Ovation TV,63523,0.468969796,994.5,1.06462356,0.440502929,3.131149347
24,BabyFirst TV,40770,0.300991745,850,0.909934667,0.330783907,4.169732647
25,Universal Kids,52820,0.389953003,1181.5,1.264809187,0.308309749,4.473684211
26,Crime + Investigation,29138,0.215116445,671.5,0.718848387,0.299251482,4.609101517
27,Lifetime Real Women,18255,0.13477077,482.8,0.516842891,0.260757713,5.289509723
28,FOX,57798,0.42670397,1700,1.819869333,0.234469564,5.88255649
29,Revolt,23451,0.17313116,990.25,1.060073887,0.163319899,8.445268858
30,MTV2,37131,0.274126183,1615,1.728875867,0.15855747,8.698930813
31,QUBO,17738,0.130953926,892.5,0.9554314,0.137062615,10.06314128
32,CBS,109375,0.807480306,5525,5.914575333,0.136523801,10.10285714
33,Galavision Cable Network,26752,0.197501377,1360,1.455895467,0.13565629,10.16746411
34,"Tr3s: MTV, Musica y Mas",15947,0.117731551,1292,1.383100693,0.085121461,16.20367467
35,CW,92235,0.68094122,3400,9.099346667,0.074834078,18.43118122
36,Independent TV,25693,0.189683122,3060,3.2757648,0.057904988,23.81971743
37,MyNetworkTV,45444,0.335498377,2125,27.29804,0.0122902,112.2260364
38,Family Entertainment Television,1689,0.012469342,1309,1.401299387,0.008898414,155.0029603
39,PBS,689,0.005086665,0,0,,0
40,ABC,48636,0.359063882,0,0,,0
41,NBC,324501,2.395686095,0,0,,0
