network,Spend,Spend Share,Impressions,Impression Share,Impression/Spend Ratio
USA Network,2380,3.61575741,943835,4.722163894,1.305995773
Oxygen,3686,5.599866308,2636451,13.19060399,2.355521233
Bravo,3667,5.571001018,1868230,9.347066226,1.677807309
History Channel En Español,1020,1.549610319,65467,0.3275423179,0.2113707646
AMC,1700,2.582683864,765128,3.828062972,1.482203465
BET Jams,150,0.2278838704,63089,0.3156447874,1.385112456
WE tv,1270,1.929416769,491400,2.458556143,1.274248354
TBS,1530,2.324415478,516371,2.58349022,1.111458018
National Geographic,255,0.3874025796,110690,0.553800528,1.429522045
TV One,867,1.317168771,47408,0.2371901295,0.1800757312
HLN,850,1.291341932,623062,3.117283084,2.413987347
METVN,147,0.223326193,2247,0.0112421157,0.05033944092
E!,3284,4.989137536,1829754,9.154564382,1.834899182
CW,732,1.112073287,18067,0.09039221375,0.081282605
ABC,4246,6.450632758,311176,1.556865418,0.2413508064
VH1,590,0.8963432235,314295,1.572470295,1.754317156
REELZChannel,840,1.276149674,117467,0.5877069891,0.4605313946
Investigation Discovery,840,1.276149674,663068,3.317439774,2.599569503
FXX,1190,1.807878705,49071,0.2455103958,0.1358002587
MSNBC,1296,1.96891664,2772075,13.86915348,7.04405316
MyNetworkTV,1302,1.978031995,27509,0.1376321142,0.06958032762
IFC,1100,1.671148383,377897,1.890681707,1.131366745
Cartoon Network,3694,5.612020115,108348,0.5420831115,0.0965932232
NEWSMAX,900,1.367303222,105320,0.5269335226,0.385381614
Independent TV,1134,1.72280206,21793,0.1090340131,0.06328876405
NBC,18289,27.7851207,3509049,17.5563573,0.631861833
truTV,420,0.6380748371,174351,0.8723071268,1.367092191
FOX,4271,6.488613403,142727,0.7140869814,0.1100523235
TNT,1530,2.324415478,605059,3.027211073,1.302353689
CBS,503,0.7641705787,221654,1.108971924,1.451209919
SundanceTV,510,0.7748051593,385261,1.927525027,2.487754507
WGN America,1630,2.476338058,100022,0.5004267451,0.202083372
