network,spend,spend_share,impressions,impression_share,imp/spend
MSNBC,414,0.364507211,563584,2.549088535,6.993245836
WHDH,442,0.389159873,37827,0.171091394,0.439642948
History Channel En Español,948,0.834668686,65407,0.295835641,0.354434815
TV One,2805,2.469668422,177131,0.801162917,0.324401005
IFC,1010,0.889256722,417823,1.889812022,2.125159108
ABC,1085,0.955290637,262594,1.187711778,1.243298879
Bravo,3297,2.902850904,2270459,10.26927841,3.537652726
E!,8362,7.362341298,1884287,8.522623758,1.15759694
Investigation Discovery,3522,3.100952649,1758439,7.953413677,2.564829127
Independent TV,6000,5.282713202,18412,0.083277414,0.015764137
SundanceTV,510,0.449030622,437795,1.980145311,4.409822434
HLN,6285,5.533642079,1975814,8.936600071,1.614958095
REELZChannel,840,0.739579848,131078,0.592865353,0.801624536
TBS,4590,4.041275599,619367,2.801394856,0.693195697
COZI TV,306,0.269418373,16611,0.075131497,0.278865529
MyNetworkTV,604,0.531793129,21047,0.09519551,0.179008537
Cartoon Network,3478,3.062212752,145690,0.65895538,0.215189287
Lifetime Movies,4080,3.592244977,240315,1.086943936,0.302580682
truTV,2712,2.387786367,406727,1.839624852,0.770431089
CW,4470,3.935621335,29487,0.133369602,0.033887813
Oxygen,3372,2.968884819,2187540,9.894236056,3.332643958
USA Network,7480,6.585782458,2259145,10.21810523,1.551540048
WGN America,1692,1.489725123,114355,0.51722728,0.347196454
VH1,3730,3.284086707,695121,3.144029943,0.957352903
BET Jams,1080,0.950888376,59317,0.268290591,0.282147304
AMC,8330,7.334166828,1349428,6.103458301,0.832195182
NBC,5189,4.568666467,854960,3.866981202,0.84641355
FOX,4318,3.801792601,235845,1.066726141,0.280585043
CBS,1127,0.99226963,117347,0.530760086,0.534895023
Freeform,14280,12.57285742,1263297,5.713888078,0.454462171
WE tv,1270,1.118174294,728739,3.296084044,2.947737272
Laff TV,1360,1.197414992,199624,0.90289868,0.754039899
TNT,1530,1.347091866,378742,1.713048791,1.271664416
CNN,3060,2.694183733,185882,0.84074366,0.312058769
